Date,Nuclear Power
2004-01-01,3.379360465116279
2004-01-02,11.15188953488372
2004-01-03,11.489825581395348
2004-01-04,14.19331395348837
2004-01-05,18.586482558139533
2004-01-06,20.276162790697676
2004-01-07,18.248546511627907
2004-01-08,25.007267441860463
2004-01-09,14.19331395348837
2004-01-10,11.15188953488372
2004-01-11,10.476017441860465
2004-01-12,17.57267441860465
2004-01-13,16.896802325581394
2004-01-14,21.627906976744185
2004-01-15,20.95203488372093
2004-01-16,13.517441860465116
2004-01-17,6.758720930232558
2004-01-18,14.53125
2004-01-19,9.800145348837209
2004-01-20,14.53125
2004-01-21,20.276162790697676
2004-01-22,13.517441860465116
2004-01-23,17.57267441860465
2004-01-24,8.786337209302324
2004-01-25,9.462209302325581
2004-01-26,14.53125
2004-01-27,17.234738372093023
2004-01-28,13.517441860465116
2004-01-29,20.95203488372093
2004-01-30,21.627906976744185
2004-01-31,13.179505813953488
2004-02-01,19.326935804103243
2004-02-02,16.774321641297153
2004-02-03,19.6915949702184
2004-02-04,21.15023163467902
2004-02-05,19.326935804103243
2004-02-06,21.15023163467902
2004-02-07,18.597617471872933
2004-02-08,24.43216412971542
2004-02-09,21.15023163467902
2004-02-10,22.608868299139644
2004-02-11,18.962276637988086
2004-02-12,31.725347452018532
2004-02-13,17.503639973527466
2004-02-14,20.42091330244871
2004-02-15,19.326935804103243
2004-02-16,16.409662475182
2004-02-17,20.785572468563867
2004-02-18,19.6915949702184
2004-02-19,16.409662475182
2004-02-20,21.15023163467902
2004-02-21,9.8457974851092
2004-02-22,15.680344142951688
2004-02-23,25.526141628060888
2004-02-24,18.962276637988086
2004-02-25,17.13898080741231
2004-02-26,21.514890800794177
2004-02-27,16.774321641297153
2004-02-28,13.85704831237591
2004-02-29,5.1052283256121775
2004-03-01,19.723571897570583
2004-03-02,24.751149047931712
2004-03-03,11.215364412344057
2004-03-04,31.325673013788574
2004-03-05,25.91135915955351
2004-03-06,11.60210111621799
2004-03-07,10.44189100459619
2004-03-08,0.0
2004-03-09,0.0
2004-03-10,26.298095863427445
2004-03-11,34.032829940906105
2004-03-12,19.723571897570583
2004-03-13,11.988837820091923
2004-03-14,17.403151674326985
2004-03-15,21.65725541694025
2004-03-16,19.33683519369665
2004-03-17,21.270518713066316
2004-03-18,20.110308601444515
2004-03-19,27.07156927117531
2004-03-20,13.922521339461587
2004-03-21,11.988837820091923
2004-03-22,17.403151674326985
2004-03-23,0.0
2004-03-24,23.590938936309914
2004-03-25,21.65725541694025
2004-03-26,15.469468154957319
2004-03-27,23.977675640183847
2004-03-28,20.110308601444515
2004-03-29,23.20420223243598
2004-03-30,38.6736703873933
2004-03-31,25.137885751805644
2004-04-01,30.859375
2004-04-02,25.78125
2004-04-03,10.15625
2004-04-04,15.625
2004-04-05,17.96875
2004-04-06,21.484375
2004-04-07,21.09375
2004-04-08,18.359375
2004-04-09,13.28125
2004-04-10,21.09375
2004-04-11,12.109375
2004-04-12,0.0
2004-04-13,0.0
2004-04-14,27.34375
2004-04-15,21.484375
2004-04-16,23.828125
2004-04-17,13.28125
2004-04-18,15.625
2004-04-19,26.953125
2004-04-20,24.21875
2004-04-21,26.953125
2004-04-22,32.03125
2004-04-23,20.703125
2004-04-24,14.84375
2004-04-25,17.578125
2004-04-26,33.59375
2004-04-27,19.921875
2004-04-28,28.515625
2004-04-29,27.734375
2004-04-30,17.578125
2004-05-01,16.487790351399642
2004-05-02,18.24181060154854
2004-05-03,29.116736152471706
2004-05-04,23.153067301965454
2004-05-05,18.24181060154854
2004-05-06,22.802263251935674
2004-05-07,21.749851101846335
2004-05-08,12.979749851101845
2004-05-09,10.524121500893388
2004-05-10,20.697438951756997
2004-05-11,25.95949970220369
2004-05-12,22.451459201905895
2004-05-13,18.9434187016081
2004-05-14,22.451459201905895
2004-05-15,11.225729600952947
2004-05-16,16.83859440142942
2004-05-17,21.399047051816556
2004-05-18,21.399047051816556
2004-05-19,28.064324002382367
2004-05-20,19.29422275163788
2004-05-21,17.89100655151876
2004-05-22,12.628945801072065
2004-05-23,14.382966051220963
2004-05-24,19.995830851697438
2004-05-25,21.399047051816556
2004-05-26,19.995830851697438
2004-05-27,17.89100655151876
2004-05-28,17.54020250148898
2004-05-29,10.173317450863609
2004-05-30,14.382966051220963
2004-05-31,20.697438951756997
2004-06-01,20.82931533269045
2004-06-02,17.0106075216972
2004-06-03,21.52362584378013
2004-06-04,15.969141755062678
2004-06-05,11.456123432979748
2004-06-06,10.761812921890066
2004-06-07,18.399228543876564
2004-06-08,17.0106075216972
2004-06-09,8.67888138862102
2004-06-10,12.84474445515911
2004-06-11,12.49758919961427
2004-06-12,12.150433944069428
2004-06-13,9.373191899710703
2004-06-14,10.414657666345224
2004-06-15,9.373191899710703
2004-06-16,11.803278688524589
2004-06-17,11.803278688524589
2004-06-18,11.108968177434907
2004-06-19,9.720347155255544
2004-06-20,13.191899710703952
2004-06-21,9.720347155255544
2004-06-22,11.456123432979748
2004-06-23,11.108968177434907
2004-06-24,12.84474445515911
2004-06-25,4.860173577627772
2004-06-26,9.373191899710703
2004-06-27,7.290260366441657
2004-06-28,11.108968177434907
2004-06-29,9.026036644165861
2004-06-30,7.290260366441657
2004-07-01,7.08926780341023
2004-07-02,10.074222668004012
2004-07-03,7.462387161484453
2004-07-04,4.850551654964894
2004-07-05,10.074222668004012
2004-07-06,11.566700100300903
2004-07-07,15.297893681043128
2004-07-08,13.059177532597792
2004-07-09,13.059177532597792
2004-07-10,8.954864593781343
2004-07-11,10.820461384152457
