Date,Oil
2004-01-01,0.0
2004-01-02,30.827298050139277
2004-01-03,0.0
2004-01-04,0.0
2004-01-05,0.0
2004-01-06,16.32033426183844
2004-01-07,22.667130919220057
2004-01-08,35.36072423398329
2004-01-09,11.786908077994429
2004-01-10,0.0
2004-01-11,0.0
2004-01-12,22.667130919220057
2004-01-13,55.30779944289694
2004-01-14,44.42757660167131
2004-01-15,22.667130919220057
2004-01-16,48.961002785515326
2004-01-17,19.040389972144848
2004-01-18,38.080779944289695
2004-01-19,51.68105849582173
2004-01-20,33.54735376044569
2004-01-21,22.667130919220057
2004-01-22,22.667130919220057
2004-01-23,23.573816155988858
2004-01-24,0.0
2004-01-25,0.0
2004-01-26,32.64066852367688
2004-01-27,21.760445682451255
2004-01-28,10.880222841225628
2004-01-29,10.880222841225628
2004-01-30,35.36072423398329
2004-01-31,17.227019498607245
2004-02-01,17.709923664122137
2004-02-02,30.99236641221374
2004-02-03,0.0
2004-02-04,0.0
2004-02-05,9.740458015267176
2004-02-06,31.87786259541985
2004-02-07,0.0
2004-02-08,25.6793893129771
2004-02-09,30.99236641221374
2004-02-10,30.106870229007633
2004-02-11,30.99236641221374
2004-02-12,21.251908396946565
2004-02-13,11.51145038167939
2004-02-14,0.0
2004-02-15,0.0
2004-02-16,11.51145038167939
2004-02-17,41.61832061068702
2004-02-18,10.625954198473282
2004-02-19,21.251908396946565
2004-02-20,22.137404580152673
2004-02-21,33.648854961832065
2004-02-22,50.47328244274809
2004-02-23,20.36641221374046
2004-02-24,40.73282442748092
2004-02-25,9.740458015267176
2004-02-26,30.99236641221374
2004-02-27,10.625954198473282
2004-02-28,35.41984732824427
2004-02-29,0.0
2004-03-01,69.73234624145786
2004-03-02,30.01138952164009
2004-03-03,35.30751708428246
2004-03-04,28.246013667425967
2004-03-05,37.95558086560364
2004-03-06,27.363325740318906
2004-03-07,49.430523917995444
2004-03-08,0.0
2004-03-09,0.0
2004-03-10,0.0
2004-03-11,0.0
2004-03-12,30.89407744874715
2004-03-13,52.07858769931663
2004-03-14,17.65375854214123
2004-03-15,0.0
2004-03-16,9.709567198177677
2004-03-17,20.301822323462414
2004-03-18,31.77676537585421
2004-03-19,0.0
2004-03-20,17.65375854214123
2004-03-21,17.65375854214123
2004-03-22,40.60364464692483
2004-03-23,0.0
2004-03-24,55.60933940774487
2004-03-25,0.0
2004-03-26,0.0
2004-03-27,69.73234624145786
2004-03-28,36.19020501138952
2004-03-29,30.01138952164009
2004-03-30,19.419134396355354
2004-03-31,47.66514806378132
2004-04-01,52.55663430420712
2004-04-02,68.51132686084142
2004-04-03,74.14239482200648
2004-04-04,17.831715210355988
2004-04-05,31.90938511326861
2004-04-06,43.17152103559871
2004-04-07,21.585760517799354
2004-04-08,0.0
2004-04-09,13.13915857605178
2004-04-10,18.77022653721683
2004-04-11,0.0
2004-04-12,0.0
2004-04-13,0.0
2004-04-14,30.97087378640777
2004-04-15,52.55663430420712
2004-04-16,46.92556634304207
2004-04-17,18.77022653721683
2004-04-18,55.372168284789645
2004-04-19,20.647249190938513
2004-04-20,40.355987055016186
2004-04-21,20.647249190938513
2004-04-22,20.647249190938513
2004-04-23,56.31067961165049
2004-04-24,18.77022653721683
2004-04-25,0.0
2004-04-26,19.708737864077673
2004-04-27,40.355987055016186
2004-04-28,20.647249190938513
2004-04-29,31.90938511326861
2004-04-30,33.786407766990294
2004-05-01,0.0
2004-05-02,0.0
2004-05-03,9.736233854520734
2004-05-04,38.05982324949014
2004-05-05,67.26852481305234
2004-05-06,51.33650577838205
2004-05-07,44.2556084296397
2004-05-08,36.289598912304555
2004-05-09,18.587355540448673
2004-05-10,30.093813732154995
2004-05-11,86.7409925220938
2004-05-12,76.11964649898027
2004-05-13,29.2087015635622
2004-05-14,21.242692046227056
2004-05-15,72.57919782460911
2004-05-16,17.70224337185588
2004-05-17,29.2087015635622
2004-05-18,56.64717878993881
2004-05-19,49.56628144119646
2004-05-20,61.07273963290278
2004-05-21,52.221617946974845
2004-05-22,17.70224337185588
2004-05-23,53.106730115567636
2004-05-24,68.15363698164514
2004-05-25,38.944935418082935
2004-05-26,30.093813732154995
2004-05-27,81.43031951053705
2004-05-28,57.532290958531604
2004-05-29,58.4174031271244
2004-05-30,0.0
2004-05-31,48.68116927260367
2004-06-01,96.31391200951248
2004-06-02,84.75624256837098
2004-06-03,55.86206896551724
2004-06-04,0.0
2004-06-05,0.0
2004-06-06,0.0
2004-06-07,0.0
2004-06-08,31.78359096313912
2004-06-09,66.45659928656362
2004-06-10,45.26753864447087
2004-06-11,12.520808561236622
2004-06-12,0.0
2004-06-13,20.22592152199762
2004-06-14,44.30439952437574
2004-06-15,32.74673008323424
2004-06-16,22.15219976218787
2004-06-17,45.26753864447087
2004-06-18,0.0
2004-06-19,0.0
2004-06-20,0.0
2004-06-21,22.15219976218787
2004-06-22,32.74673008323424
2004-06-23,45.26753864447087
2004-06-24,23.115338882282995
2004-06-25,0.0
2004-06-26,19.262782401902495
2004-06-27,0.0
2004-06-28,22.15219976218787
2004-06-29,43.34126040428062
2004-06-30,44.30439952437574
2004-07-01,0.0
2004-07-02,25.25925925925926
2004-07-03,19.51851851851852
2004-07-04,42.48148148148148
2004-07-05,0.0
2004-07-06,20.666666666666668
2004-07-07,42.48148148148148
2004-07-08,10.333333333333334
2004-07-09,11.481481481481481
2004-07-10,0.0
2004-07-11,0.0
2004-07-12,41.333333333333336
2004-07-13,0.0
2004-07-14,0.0
2004-07-15,57.407407407407405
2004-07-16,34.44444444444444
2004-07-17,0.0
