Date,Solar Power
2004-01-01,30.413513513513514
2004-01-02,53.454054054054055
2004-01-03,47.924324324324324
2004-01-04,59.9054054054054
2004-01-05,18.43243243243243
2004-01-06,29.491891891891893
2004-01-07,42.394594594594594
2004-01-08,59.9054054054054
2004-01-09,53.454054054054055
2004-01-10,49.76756756756757
2004-01-11,50.68918918918919
2004-01-12,69.12162162162163
2004-01-13,56.218918918918924
2004-01-14,51.61081081081081
2004-01-15,55.2972972972973
2004-01-16,41.472972972972975
2004-01-17,15.667567567567568
2004-01-18,37.78648648648649
2004-01-19,31.335135135135136
2004-01-20,38.70810810810811
2004-01-21,45.15945945945946
2004-01-22,35.943243243243245
2004-01-23,39.62972972972973
2004-01-24,35.943243243243245
2004-01-25,35.02162162162162
2004-01-26,46.08108108108108
2004-01-27,41.472972972972975
2004-01-28,47.924324324324324
2004-01-29,60.82702702702703
2004-01-30,47.924324324324324
2004-01-31,35.02162162162162
2004-02-01,28.88476821192053
2004-02-02,60.47748344370861
2004-02-03,36.10596026490066
2004-02-04,57.76953642384106
2004-02-05,59.574834437086096
2004-02-06,38.81390728476821
2004-02-07,47.84039735099338
2004-02-08,41.52185430463576
2004-02-09,39.71655629139073
2004-02-10,46.93774834437086
2004-02-11,47.84039735099338
2004-02-12,50.54834437086093
2004-02-13,41.52185430463576
2004-02-14,28.88476821192053
2004-02-15,52.35364238410596
2004-02-16,31.59271523178808
2004-02-17,44.22980132450331
2004-02-18,38.81390728476821
2004-02-19,46.93774834437086
2004-02-20,48.743046357615896
2004-02-21,47.84039735099338
2004-02-22,47.84039735099338
2004-02-23,45.13245033112583
2004-02-24,65.89337748344371
2004-02-25,46.93774834437086
2004-02-26,66.79602649006623
2004-02-27,37.911258278145695
2004-02-28,74.91986754966888
2004-02-29,40.61920529801325
2004-03-01,59.3007367716008
2004-03-02,54.00602813127931
2004-03-03,25.4146014735432
2004-03-04,63.53650368385801
2004-03-05,62.4775619557937
2004-03-06,64.5954454119223
2004-03-07,23.2967180174146
2004-03-08,0.0
2004-03-09,0.0
2004-03-10,40.2397856664434
2004-03-11,54.00602813127931
2004-03-12,78.36168787675821
2004-03-13,49.7702612190221
2004-03-14,82.5974547890154
2004-03-15,65.65438713998661
2004-03-16,55.064969859343606
2004-03-17,54.00602813127931
2004-03-18,56.1239115874079
2004-03-19,37.0629604822505
2004-03-20,72.00803750837241
2004-03-21,49.7702612190221
2004-03-22,29.6503683858004
2004-03-23,0.0
2004-03-24,62.4775619557937
2004-03-25,62.4775619557937
2004-03-26,32.827193569993305
2004-03-27,62.4775619557937
2004-03-28,95.304755525787
2004-03-29,59.3007367716008
2004-03-30,63.53650368385801
2004-03-31,65.65438713998661
2004-04-01,54.631083202511775
2004-04-02,83.83045525902668
2004-04-03,42.3861852433281
2004-04-04,83.83045525902668
2004-04-05,60.28257456828885
2004-04-06,53.68916797488226
2004-04-07,64.99215070643642
2004-04-08,60.28257456828885
2004-04-09,31.08320251177394
2004-04-10,92.3076923076923
2004-04-11,34.850863422291994
2004-04-12,0.0
2004-04-13,0.0
2004-04-14,57.45682888540031
2004-04-15,58.39874411302982
2004-04-16,49.92150706436421
2004-04-17,69.70172684458399
2004-04-18,75.35321821036106
2004-04-19,81.00470957613814
2004-04-20,62.16640502354788
2004-04-21,63.10832025117739
2004-04-22,67.81789638932496
2004-04-23,63.10832025117739
2004-04-24,68.75981161695447
2004-04-25,54.631083202511775
2004-04-26,65.93406593406593
2004-04-27,62.16640502354788
2004-04-28,80.06279434850863
2004-04-29,86.65620094191522
2004-04-30,71.585557299843
2004-05-01,69.32597701149426
2004-05-02,49.25793103448276
2004-05-03,59.291954022988506
2004-05-04,81.18436781609196
2004-05-05,59.291954022988506
2004-05-06,46.52137931034483
2004-05-07,69.32597701149426
2004-05-08,50.170114942528734
2004-05-09,53.81885057471265
2004-05-10,63.852873563218395
2004-05-11,64.76505747126437
2004-05-12,60.20413793103449
2004-05-13,79.36
2004-05-14,59.291954022988506
2004-05-15,64.76505747126437
2004-05-16,87.5696551724138
2004-05-17,51.99448275862069
2004-05-18,73.88689655172413
2004-05-19,54.73103448275862
2004-05-20,70.23816091954023
2004-05-21,60.20413793103449
2004-05-22,70.23816091954023
2004-05-23,69.32597701149426
2004-05-24,90.30620689655173
2004-05-25,73.88689655172413
2004-05-26,43.7848275862069
2004-05-27,61.11632183908046
2004-05-28,68.41379310344828
2004-05-29,65.67724137931035
2004-05-30,63.852873563218395
2004-05-31,48.345747126436784
2004-06-01,79.73333333333333
2004-06-02,34.66666666666667
2004-06-03,86.66666666666667
2004-06-04,43.333333333333336
2004-06-05,39.86666666666667
2004-06-06,73.66666666666667
2004-06-07,52.86666666666667
2004-06-08,68.46666666666667
2004-06-09,58.06666666666667
2004-06-10,35.53333333333333
2004-06-11,40.733333333333334
2004-06-12,45.06666666666667
2004-06-13,72.8
2004-06-14,59.800000000000004
2004-06-15,60.66666666666667
2004-06-16,42.46666666666667
2004-06-17,54.6
2004-06-18,39.86666666666667
2004-06-19,62.400000000000006
2004-06-20,63.266666666666666
2004-06-21,63.266666666666666
2004-06-22,32.06666666666667
2004-06-23,23.400000000000002
2004-06-24,43.333333333333336
2004-06-25,55.46666666666667
2004-06-26,33.800000000000004
2004-06-27,72.8
2004-06-28,29.46666666666667
2004-06-29,49.4
2004-06-30,42.46666666666667
2004-07-01,47.745535714285715
2004-07-02,58.125
2004-07-03,38.40401785714286
2004-07-04,52.93526785714286
2004-07-05,103.79464285714286
2004-07-06,65.390625
2004-07-07,34.252232142857146
