Date,Natural Gas,Oil,Coal,Nuclear Power,Wind Power,Hydroelectric,Solar Power,Gold,Silver,Platinum,Copper,Biofuel,Recession,CPI
2004-01-01,74,0,0,11,30,0,41,59,21,0,0,0,0,12
2004-01-02,31,34,0,31,25,0,57,52,18,0,0,0,0,35
2004-01-03,0,0,0,34,32,14,51,51,67,0,26,0,0,39
2004-01-04,0,0,0,39,64,41,68,66,56,0,0,0,23,32
2004-01-05,0,0,0,59,18,32,20,12,26,0,0,0,53,15
2004-01-06,32,17,0,64,39,0,31,100,100,0,0,41,37,73
2004-01-07,0,25,0,51,70,40,47,83,13,22,0,29,0,63
2004-01-08,23,38,0,72,33,8,66,55,47,0,46,30,14,80
2004-01-09,0,13,0,38,34,17,57,75,54,0,31,30,28,54
2004-01-10,0,0,0,32,23,26,53,49,21,0,25,0,0,31
2004-01-11,0,0,0,27,54,27,54,85,87,0,0,0,22,37
2004-01-12,0,25,0,52,51,16,74,33,39,0,15,0,27,59
2004-01-13,22,60,0,53,45,46,62,66,44,0,29,0,77,68
2004-01-14,22,48,0,62,58,39,57,49,50,42,43,0,26,57
2004-01-15,67,25,0,58,60,24,61,73,70,65,15,0,13,95
2004-01-16,0,52,0,36,54,8,44,97,61,23,16,0,0,62
2004-01-17,37,20,0,19,23,13,20,63,85,36,0,0,0,30
2004-01-18,0,41,0,45,30,13,40,34,53,36,0,0,44,49
2004-01-19,50,56,0,24,10,27,33,46,29,0,0,32,30,58
2004-01-20,0,37,0,45,59,0,39,61,44,86,29,85,39,73
2004-01-21,44,24,0,57,41,23,48,55,44,21,15,0,13,32
2004-01-22,44,24,0,40,77,8,36,55,44,0,0,0,0,43
2004-01-23,0,25,0,51,42,8,40,84,39,66,30,58,13,78
2004-01-24,0,0,0,23,43,0,38,74,61,34,0,45,83,52
2004-01-25,0,0,0,25,28,12,41,45,39,100,0,0,41,39
2004-01-26,0,35,0,42,44,15,51,50,37,21,14,0,13,35
2004-01-27,21,24,0,45,39,38,40,65,12,0,0,27,88,60
2004-01-28,0,12,0,40,48,22,51,39,30,0,0,0,25,59
2004-01-29,22,12,0,61,40,23,67,83,37,21,0,56,13,79
2004-01-30,0,38,0,54,24,25,51,55,20,0,15,30,14,84
2004-01-31,34,19,0,37,56,12,38,50,10,0,0,0,20,23
2004-02-01,0,20,0,54,29,38,31,42,41,0,0,46,0,41
2004-02-02,0,34,0,47,30,37,64,25,24,0,14,80,49,24
