Date,CPI
2013-01-01,26.915699141847547
2013-01-02,100.9338717819283
2013-01-03,80.74709742554265
2013-01-04,80.74709742554265
2013-01-05,40.373548712771324
2013-01-06,45.75668854114083
2013-01-07,103.62544169611306
2013-01-08,82.09288238263503
2013-01-09,99.58808682483593
2013-01-10,106.31701161029781
2013-01-11,129.19535588086825
2013-01-12,49.79404341241796
2013-01-13,41.7193336698637
2013-01-14,79.40131246845027
2013-01-15,118.42907622412922
2013-01-16,125.1580010095911
2013-01-17,110.35436648157496
2013-01-18,107.66279656739019
2013-01-19,53.831398283695094
2013-01-20,45.75668854114083
2013-01-21,80.74709742554265
2013-01-22,84.78445229681978
2013-01-23,134.57849570923776
2013-01-24,94.20494699646642
2013-01-25,117.08329126703684
2013-01-26,53.831398283695094
2013-01-27,47.10247349823321
2013-01-28,113.04593639575971
2013-01-29,107.66279656739019
2013-01-30,99.58808682483593
2013-01-31,104.97122665320543
2013-02-01,99.73894736842105
2013-02-02,38.787368421052626
2013-02-03,65.10736842105263
2013-02-04,99.73894736842105
2013-02-05,124.6736842105263
2013-02-06,106.66526315789473
2013-02-07,120.5178947368421
2013-02-08,94.1978947368421
2013-02-09,48.484210526315785
2013-02-10,40.17263157894737
2013-02-11,112.20631578947368
2013-02-12,109.43578947368421
2013-02-13,101.12421052631578
2013-02-14,120.5178947368421
2013-02-15,95.58315789473684
2013-02-16,66.49263157894737
2013-02-17,55.41052631578947
2013-02-18,99.73894736842105
2013-02-19,113.59157894736842
2013-02-20,117.74736842105263
2013-02-21,138.52631578947367
2013-02-22,119.13263157894735
2013-02-23,59.56631578947368
2013-02-24,55.41052631578947
2013-02-25,106.66526315789473
2013-02-26,90.0421052631579
2013-02-27,119.13263157894735
2013-02-28,113.59157894736842
2013-03-01,118.2291169451074
2013-03-02,41.50596658711217
2013-03-03,52.82577565632458
2013-03-04,101.8782816229117
2013-03-05,110.68257756563246
2013-03-06,104.39379474940334
2013-03-07,89.30071599045347
2013-03-08,116.97136038186157
2013-03-09,45.279236276849645
2013-03-10,49.05250596658711
2013-03-11,101.8782816229117
2013-03-12,75.4653937947494
2013-03-13,101.8782816229117
2013-03-14,124.51789976133652
2013-03-15,99.36276849642005
2013-03-16,41.50596658711217
2013-03-17,62.88782816229117
2013-03-18,101.8782816229117
2013-03-19,120.74463007159905
2013-03-20,103.13603818615752
2013-03-21,111.94033412887828
2013-03-22,95.58949880668258
2013-03-23,33.95942720763723
2013-03-24,41.50596658711217
2013-03-25,103.13603818615752
2013-03-26,98.10501193317423
2013-03-27,125.77565632458234
2013-03-28,105.65155131264916
2013-03-29,62.88782816229117
2013-03-30,44.02147971360382
2013-03-31,49.05250596658711
2013-04-01,88.48553601815088
2013-04-02,103.80034032898469
2013-04-03,98.69540555870675
2013-04-04,112.30856494611459
2013-04-05,131.02665910380034
2013-04-06,88.48553601815088
2013-04-07,85.08224617129892
2013-04-08,120.81678956324447
2013-04-09,103.80034032898469
2013-04-10,158.252977878616
2013-04-11,170.16449234259784
2013-04-12,108.90527509926262
2013-04-13,51.04934770277936
2013-04-14,76.57402155416904
2013-04-15,112.30856494611459
2013-04-16,132.72830402722633
2013-04-17,102.09869540555871
2013-04-18,115.71185479296653
2013-04-19,119.1151446398185
2013-04-20,45.94441293250142
2013-04-21,56.15428247305729
2013-04-22,93.59047078842882
2013-04-23,117.41349971639252
2013-04-24,112.30856494611459
2013-04-25,119.1151446398185
2013-04-26,95.29211571185479
2013-04-27,32.33125354509359
2013-04-28,49.34770277935338
2013-04-29,91.88882586500284
2013-04-30,107.20363017583665
2013-05-01,110.3153153153153
2013-05-02,100.38693693693693
2013-05-03,97.07747747747747
2013-05-04,39.71351351351351
2013-05-05,65.08603603603603
2013-05-06,101.49009009009009
2013-05-07,93.76801801801801
2013-05-08,105.9027027027027
2013-05-09,95.97432432432431
2013-05-10,110.3153153153153
2013-05-11,39.71351351351351
2013-05-12,54.0545045045045
2013-05-13,109.21216216216216
2013-05-14,105.9027027027027
2013-05-15,95.97432432432431
2013-05-16,94.87117117117117
2013-05-17,99.28378378378378
2013-05-18,36.40405405405405
2013-05-19,46.33243243243243
2013-05-20,90.45855855855855
2013-05-21,91.56171171171171
2013-05-22,80.53018018018018
2013-05-23,87.14909909909909
2013-05-24,67.29234234234234
2013-05-25,25.372522522522523
2013-05-26,29.785135135135135
2013-05-27,45.229279279279275
2013-05-28,79.42702702702702
2013-05-29,80.53018018018018
2013-05-30,82.73648648648648
2013-05-31,87.14909909909909
2013-06-01,41.586776859504134
2013-06-02,44.95867768595041
2013-06-03,86.54545454545455
2013-06-04,84.29752066115702
2013-06-05,82.04958677685951
2013-06-06,84.29752066115702
2013-06-07,58.44628099173554
2013-06-08,28.09917355371901
2013-06-09,47.20661157024794
2013-06-10,78.67768595041322
2013-06-11,94.41322314049587
2013-06-12,73.05785123966942
2013-06-13,100.03305785123968
2013-06-14,83.17355371900827
2013-06-15,37.09090909090909
2013-06-16,28.09917355371901
2013-06-17,79.80165289256199
2013-06-18,112.39669421487604
2013-06-19,95.53719008264463
2013-06-20,75.30578512396694
2013-06-21,73.05785123966942
2013-06-22,47.20661157024794
2013-06-23,37.09090909090909
2013-06-24,95.53719008264463
2013-06-25,77.55371900826447
2013-06-26,68.56198347107438
2013-06-27,74.18181818181819
2013-06-28,74.18181818181819
2013-06-29,30.34710743801653
2013-06-30,47.20661157024794
2013-07-01,76.58606313281715
2013-07-02,87.88564621798689
2013-07-03,67.79749851101846
2013-07-04,37.66527695056581
2013-07-05,61.51995235259082
