Date,Solar Power
2013-01-01,37.50255804801259
2013-01-02,49.78787878787878
2013-01-03,53.667453758362846
2013-01-04,49.141282959464775
2013-01-05,43.968516332152696
2013-01-06,45.908303817394724
2013-01-07,55.607241243604875
2013-01-08,60.13341204250295
2013-01-09,58.840220385674925
2013-01-10,59.48681621408894
2013-01-11,55.607241243604875
2013-01-12,46.55489964580873
2013-01-13,44.6151121605667
2013-01-14,54.314049586776854
2013-01-15,60.13341204250295
2013-01-16,59.48681621408894
2013-01-17,60.13341204250295
2013-01-18,45.26170798898072
2013-01-19,43.32192050373868
2013-01-20,47.84809130263675
2013-01-21,43.32192050373868
2013-01-22,58.19362455726092
2013-01-23,64.65958284140102
2013-01-24,58.840220385674925
2013-01-25,63.366391184573
2013-01-26,45.908303817394724
2013-01-27,46.55489964580873
2013-01-28,53.667453758362846
2013-01-29,58.840220385674925
2013-01-30,55.607241243604875
2013-01-31,62.71979535615899
2013-02-01,52.51674641148325
2013-02-02,36.829926054806435
2013-02-03,50.470639408438444
2013-02-04,55.24488908220965
2013-02-05,60.70117442366246
2013-02-06,65.47542409743366
2013-02-07,60.019138755980855
2013-02-08,58.655067420617655
2013-02-09,43.65028273162244
2013-02-10,47.742496737712045
2013-02-11,61.383210091344054
2013-02-12,58.655067420617655
2013-02-13,52.51674641148325
2013-02-14,54.56285341452805
2013-02-15,47.06046107003044
2013-02-16,44.33231839930404
2013-02-17,49.78860374075685
2013-02-18,51.83471074380165
2013-02-19,68.20356676816006
2013-02-20,63.42931709438886
2013-02-21,63.42931709438886
2013-02-22,63.42931709438886
2013-02-23,47.742496737712045
2013-02-24,52.51674641148325
2013-02-25,61.383210091344054
2013-02-26,67.52153110047846
2013-02-27,62.06524575902566
2013-02-28,66.83949543279687
2013-03-01,57.03044315992293
2013-03-02,46.66127167630058
2013-03-03,51.845857418111756
2013-03-04,70.36223506743738
2013-03-05,67.39961464354528
2013-03-06,59.99306358381503
2013-03-07,59.25240847784201
2013-03-08,59.25240847784201
2013-03-09,49.623892100192684
2013-03-10,66.65895953757226
2013-03-11,62.21502890173411
2013-03-12,68.88092485549133
2013-03-13,68.14026974951831
2013-03-14,65.91830443159924
2013-03-15,54.067822736030834
2013-03-16,54.80847784200385
2013-03-17,59.25240847784201
2013-03-18,67.39961464354528
2013-03-19,64.43699421965319
2013-03-20,71.1028901734104
2013-03-21,67.39961464354528
2013-03-22,60.733718689788056
2013-03-23,48.88323699421966
2013-03-24,59.99306358381503
2013-03-25,67.39961464354528
2013-03-26,69.62157996146436
2013-03-27,74.0655105973025
2013-03-28,68.88092485549133
2013-03-29,57.77109826589596
2013-03-30,57.03044315992293
2013-03-31,65.91830443159924
2013-04-01,61.30217028380635
2013-04-02,64.00667779632721
2013-04-03,60.40066777963273
2013-04-04,69.41569282136895
2013-04-05,67.61268781302171
2013-04-06,59.499165275459106
2013-04-07,68.51419031719533
2013-04-08,68.51419031719533
2013-04-09,73.02170283806345
2013-04-10,70.31719532554257
2013-04-11,79.33222036727881
2013-04-12,68.51419031719533
2013-04-13,55.89315525876461
2013-04-14,65.80968280467447
2013-04-15,73.92320534223707
2013-04-16,82.93823038397329
2013-04-17,77.52921535893155
2013-04-18,66.71118530884809
2013-04-19,64.00667779632721
2013-04-20,60.40066777963273
2013-04-21,80.23372287145243
2013-04-22,90.15025041736227
2013-04-23,80.23372287145243
2013-04-24,80.23372287145243
2013-04-25,79.33222036727881
2013-04-26,79.33222036727881
2013-04-27,61.30217028380635
2013-04-28,84.74123539232053
2013-04-29,82.93823038397329
2013-04-30,83.83973288814691
2013-05-01,81.008180755746
2013-05-02,74.41449162446435
2013-05-03,83.83404752629528
2013-05-04,75.35644721464745
2013-05-05,76.29840280483053
2013-05-06,94.19555901830931
2013-05-07,85.71795870666146
2013-05-08,84.77600311647838
2013-05-09,89.48578106739384
2013-05-10,80.06622516556291
2013-05-11,66.87884690299961
2013-05-12,78.18231398519673
2013-05-13,84.77600311647838
2013-05-14,83.83404752629528
2013-05-15,81.008180755746
2013-05-16,78.18231398519673
2013-05-17,68.7627580833658
2013-05-18,67.8208024931827
2013-05-19,73.47253603428126
2013-05-20,83.83404752629528
2013-05-21,72.53058044409816
2013-05-22,76.29840280483053
2013-05-23,81.008180755746
2013-05-24,69.70471367354888
2013-05-25,65.93689131281651
2013-05-26,73.47253603428126
2013-05-27,81.9501363459291
2013-05-28,76.29840280483053
2013-05-29,84.77600311647838
2013-05-30,73.47253603428126
2013-05-31,70.64666926373198
2013-06-01,67.07616707616708
2013-06-02,75.85995085995086
2013-06-03,79.85257985257985
2013-06-04,66.27764127764128
2013-06-05,68.67321867321867
2013-06-06,66.27764127764128
2013-06-07,63.08353808353808
2013-06-08,50.307125307125304
2013-06-09,79.85257985257985
2013-06-10,70.27027027027027
2013-06-11,61.486486486486484
2013-06-12,59.88943488943489
2013-06-13,57.49385749385749
2013-06-14,63.88206388206388
2013-06-15,57.49385749385749
2013-06-16,75.85995085995086
2013-06-17,66.27764127764128
2013-06-18,64.68058968058968
2013-06-19,55.896805896805894
2013-06-20,56.695331695331696
2013-06-21,58.29238329238329
2013-06-22,66.27764127764128
2013-06-23,72.66584766584766
2013-06-24,71.06879606879608
2013-06-25,63.08353808353808
2013-06-26,66.27764127764128
2013-06-27,63.88206388206388
2013-06-28,52.7027027027027
2013-06-29,57.49385749385749
2013-06-30,71.06879606879608
2013-07-01,64.53531598513011
2013-07-02,62.998760842627014
2013-07-03,55.31598513011152
2013-07-04,56.85254027261462
2013-07-05,61.46220570012392
