Date,Oil
2013-01-01,18.13285777975925
2013-01-02,44.22648238965671
2013-01-03,38.9193045028979
2013-01-04,37.150245207311634
2013-01-05,30.958537672759697
2013-01-06,26.093624609897457
2013-01-07,38.47703967900134
2013-01-08,34.054391440035666
2013-01-09,41.13062862238074
2013-01-10,30.07400802496656
2013-01-11,23.88230049041462
2013-01-12,16.36379848417298
2013-01-13,29.631743201069995
2013-01-14,22.55550601872492
2013-01-15,31.84306732055283
2013-01-16,34.49665626393223
2013-01-17,40.68836379848417
2013-01-18,40.68836379848417
2013-01-19,30.516272848863128
2013-01-20,13.267944716897013
2013-01-21,34.938921087828795
2013-01-22,43.34195274186357
2013-01-23,38.03477485510477
2013-01-24,42.89968791796701
2013-01-25,34.49665626393223
2013-01-26,17.690592955862684
2013-01-27,27.42041908158716
2013-01-28,36.2657155595185
2013-01-29,27.862683905483724
2013-01-30,32.72759696834596
2013-01-31,33.16986179224253
2013-02-01,39.72126885075403
2013-02-02,22.11752470098804
2013-02-03,18.957878315132604
2013-02-04,32.49921996879875
2013-02-05,29.790951638065522
2013-02-06,45.13780551222049
2013-02-07,29.790951638065522
2013-02-08,23.923036921476857
2013-02-09,22.11752470098804
2013-02-10,17.152366094643785
2013-02-11,40.172646905876235
2013-02-12,27.9854394175767
2013-02-13,39.269890795631824
2013-02-14,35.65886635465419
2013-02-15,32.95059802392095
2013-02-16,23.47165886635465
2013-02-17,30.69370774830993
2013-02-18,33.40197607904316
2013-02-19,34.30473218928757
2013-02-20,25.277171086843474
2013-02-21,34.756110244409776
2013-02-22,31.59646385855434
2013-02-23,27.9854394175767
2013-02-24,33.853354134165365
2013-02-25,34.756110244409776
2013-02-26,36.110244409776385
2013-02-27,30.69370774830993
2013-02-28,33.853354134165365
2013-03-01,39.61661341853035
2013-03-02,26.24600638977636
2013-03-03,17.82747603833866
2013-03-04,38.13099041533546
2013-03-05,42.0926517571885
2013-03-06,49.52076677316294
2013-03-07,35.159744408945684
2013-03-08,37.635782747603834
2013-03-09,14.856230031948881
2013-03-10,28.226837060702874
2013-03-11,26.741214057507985
2013-03-12,23.769968051118212
2013-03-13,28.226837060702874
2013-03-14,37.14057507987221
2013-03-15,38.13099041533546
2013-03-16,14.856230031948881
2013-03-17,20.303514376996805
2013-03-18,24.26517571884984
2013-03-19,41.59744408945687
2013-03-20,42.0926517571885
2013-03-21,40.60702875399361
2013-03-22,25.255591054313097
2013-03-23,23.27476038338658
2013-03-24,24.76038338658147
2013-03-25,25.255591054313097
2013-03-26,31.19808306709265
2013-03-27,26.24600638977636
2013-03-28,25.750798722044728
2013-03-29,42.0926517571885
2013-03-30,19.313099041533548
2013-03-31,19.808306709265175
2013-04-01,36.631139944392956
2013-04-02,42.66450417052826
2013-04-03,27.581093605189988
2013-04-04,36.631139944392956
2013-04-05,28.012048192771083
2013-04-06,32.321594068582016
2013-04-07,27.150139017608893
2013-04-08,39.64782205746061
2013-04-09,42.23354958294717
2013-04-10,24.13345690454124
2013-04-11,25.857275254865613
2013-04-12,43.09545875810936
2013-04-13,33.614457831325296
2013-04-14,21.54772937905468
2013-04-15,37.92400370713624
2013-04-16,36.631139944392956
2013-04-17,42.66450417052826
2013-04-18,33.183503243744205
2013-04-19,28.443002780352174
2013-04-20,21.97868396663577
2013-04-21,20.68582020389249
2013-04-22,28.443002780352174
2013-04-23,21.116774791473585
2013-04-24,34.045412418906395
2013-04-25,27.581093605189988
2013-04-26,24.13345690454124
2013-04-27,20.68582020389249
2013-04-28,23.702502316960146
2013-04-29,33.183503243744205
2013-04-30,34.476367006487486
2013-05-01,36.594899460519855
2013-05-02,33.06768023540951
2013-05-03,33.508582638548305
2013-05-04,23.808729769494846
2013-05-05,27.335948994605197
2013-05-06,38.358509073075034
2013-05-07,29.09955860716037
2013-05-08,23.808729769494846
2013-05-09,44.09024031387935
2013-05-10,16.754291319274152
2013-05-11,23.808729769494846
2013-05-12,32.185875429131926
2013-05-13,41.00392349190779
2013-05-14,31.304070622854336
2013-05-15,36.594899460519855
2013-05-16,31.304070622854336
2013-05-17,35.71309465424227
2013-05-18,18.95880333496812
2013-05-19,14.990681706718979
2013-05-20,41.444825895046584
2013-05-21,26.454144188327607
2013-05-22,28.217753800882782
2013-05-23,27.77685139774399
2013-05-24,33.06768023540951
2013-05-25,12.345267287886218
2013-05-26,14.549779303580184
2013-05-27,25.13143697891123
2013-05-28,34.83128984796468
2013-05-29,29.54046101029916
2013-05-30,26.454144188327607
2013-05-31,26.895046591466404
2013-06-01,29.23375902276513
2013-06-02,15.291504719600221
2013-06-03,44.97501388117712
2013-06-04,29.23375902276513
2013-06-05,41.826762909494725
2013-06-06,37.779011660188786
2013-06-07,30.133259300388673
2013-06-08,35.53026096612993
2013-06-09,25.63575791227096
2013-06-10,24.286507495835647
2013-06-11,32.38200999444753
2013-06-12,32.38200999444753
2013-06-13,20.238756246529704
2013-06-14,32.38200999444753
2013-06-15,34.18101054969461
2013-06-16,5.846751804553026
2013-06-17,37.32926152137701
2013-06-18,24.73625763464742
2013-06-19,26.535258189894503
2013-06-20,20.688506385341476
2013-06-21,30.583009439200442
2013-06-22,17.990005552470848
2013-06-23,13.942254303164908
2013-06-24,25.18600777345919
2013-06-25,31.032759578012215
2013-06-26,34.18101054969461
2013-06-27,29.6835091615769
2013-06-28,21.13825652415325
2013-06-29,11.693503609106052
2013-06-30,13.942254303164908
2013-07-01,25.363636363636363
2013-07-02,21.98181818181818
2013-07-03,32.69090909090909
2013-07-04,13.527272727272727
2013-07-05,21.418181818181818
