Date,Coal
2013-08-15,139.86984815618223
2013-08-16,142.55965292841648
2013-08-17,0.0
2013-08-18,0.0
2013-08-19,137.18004338394795
2013-08-20,0.0
2013-08-21,0.0
2013-08-22,0.0
2013-08-23,0.0
2013-08-24,0.0
2013-08-25,0.0
2013-08-26,0.0
2013-08-27,0.0
2013-08-28,0.0
2013-08-29,268.98047722342733
2013-08-30,0.0
2013-08-31,0.0
2013-09-01,0.0
2013-09-02,143.58407079646017
2013-09-03,0.0
2013-09-04,124.11504424778761
2013-09-05,124.11504424778761
2013-09-06,0.0
2013-09-07,0.0
2013-09-08,0.0
2013-09-09,0.0
2013-09-10,0.0
2013-09-11,243.36283185840708
2013-09-12,121.68141592920354
2013-09-13,126.54867256637168
2013-09-14,153.31858407079645
2013-09-15,0.0
2013-09-16,0.0
2013-09-17,0.0
2013-09-18,240.92920353982302
2013-09-19,124.11504424778761
2013-09-20,0.0
2013-09-21,0.0
2013-09-22,0.0
2013-09-23,0.0
2013-09-24,0.0
2013-09-25,124.11504424778761
2013-09-26,0.0
2013-09-27,0.0
2013-09-28,0.0
2013-09-29,0.0
2013-09-30,124.11504424778761
2013-10-01,119.09829059829059
2013-10-02,122.94017094017093
2013-10-03,0.0
2013-10-04,0.0
2013-10-05,0.0
2013-10-06,0.0
2013-10-07,0.0
2013-10-08,0.0
2013-10-09,122.94017094017093
2013-10-10,126.78205128205127
2013-10-11,126.78205128205127
2013-10-12,153.67521367521366
2013-10-13,153.67521367521366
2013-10-14,0.0
2013-10-15,0.0
2013-10-16,238.19658119658118
2013-10-17,0.0
2013-10-18,384.1880341880342
2013-10-19,0.0
2013-10-20,0.0
2013-10-21,0.0
2013-10-22,0.0
2013-10-23,0.0
2013-10-24,122.94017094017093
2013-10-25,126.78205128205127
2013-10-26,0.0
2013-10-27,0.0
2013-10-28,0.0
2013-10-29,0.0
2013-10-30,0.0
2013-10-31,0.0
2013-11-01,156.92995529061102
2013-11-02,0.0
2013-11-03,0.0
2013-11-04,0.0
2013-11-05,0.0
2013-11-06,0.0
2013-11-07,142.39940387481371
2013-11-08,148.21162444113264
2013-11-09,177.27272727272728
2013-11-10,174.3666169895678
2013-11-11,0.0
2013-11-12,139.49329359165424
2013-11-13,142.39940387481371
2013-11-14,0.0
2013-11-15,148.21162444113264
2013-11-16,0.0
2013-11-17,0.0
2013-11-18,139.49329359165424
2013-11-19,0.0
2013-11-20,0.0
2013-11-21,0.0
2013-11-22,290.6110283159463
2013-11-23,0.0
2013-11-24,0.0
2013-11-25,0.0
2013-11-26,142.39940387481371
2013-11-27,148.21162444113264
2013-11-28,0.0
2013-11-29,0.0
2013-11-30,0.0
2013-12-01,0.0
2013-12-02,0.0
2013-12-03,0.0
2013-12-04,105.81797752808988
2013-12-05,105.81797752808988
2013-12-06,215.0494382022472
2013-12-07,0.0
2013-12-08,0.0
2013-12-09,0.0
2013-12-10,0.0
2013-12-11,105.81797752808988
2013-12-12,0.0
2013-12-13,112.64494382022473
2013-12-14,0.0
2013-12-15,0.0
2013-12-16,109.2314606741573
2013-12-17,0.0
2013-12-18,0.0
2013-12-19,341.34831460674155
2013-12-20,0.0
2013-12-21,139.95280898876405
2013-12-22,143.36629213483147
2013-12-23,0.0
2013-12-24,0.0
2013-12-25,0.0
2013-12-26,0.0
2013-12-27,0.0
2013-12-28,139.95280898876405
2013-12-29,0.0
2013-12-30,0.0
2013-12-31,0.0
2014-01-01,0.0
2014-01-02,0.0
2014-01-03,0.0
2014-01-04,0.0
2014-01-05,0.0
2014-01-06,0.0
2014-01-07,0.0
2014-01-08,126.04429133858268
2014-01-09,0.0
2014-01-10,130.71259842519686
2014-01-11,0.0
2014-01-12,150.94192913385828
2014-01-13,0.0
2014-01-14,0.0
2014-01-15,0.0
2014-01-16,126.04429133858268
2014-01-17,130.71259842519686
2014-01-18,0.0
2014-01-19,155.61023622047244
2014-01-20,0.0
2014-01-21,0.0
2014-01-22,122.93208661417324
2014-01-23,0.0
2014-01-24,126.04429133858268
2014-01-25,0.0
2014-01-26,150.94192913385828
2014-01-27,119.81988188976379
2014-01-28,118.26377952755907
2014-01-29,122.93208661417324
2014-01-30,0.0
2014-01-31,0.0
2014-02-01,0.0
2014-02-02,0.0
2014-02-03,0.0
2014-02-04,0.0
2014-02-05,0.0
2014-02-06,175.00000000000003
2014-02-07,140.00000000000003
2014-02-08,0.0
2014-02-09,0.0
2014-02-10,0.0
2014-02-11,227.50000000000003
2014-02-12,115.50000000000001
2014-02-13,115.50000000000001
2014-02-14,122.50000000000001
2014-02-15,0.0
2014-02-16,0.0
2014-02-17,122.50000000000001
2014-02-18,0.0
2014-02-19,0.0
2014-02-20,350.00000000000006
2014-02-21,0.0
2014-02-22,0.0
2014-02-23,0.0
2014-02-24,112.00000000000001
2014-02-25,112.00000000000001
2014-02-26,0.0
2014-02-27,115.50000000000001
2014-02-28,0.0
2014-03-01,0.0
2014-03-02,212.01478743068392
2014-03-03,0.0
2014-03-04,0.0
2014-03-05,89.04621072088725
2014-03-06,89.04621072088725
2014-03-07,0.0
2014-03-08,0.0
2014-03-09,0.0
2014-03-10,182.33271719038817
2014-03-11,91.16635859519408
2014-03-12,0.0
2014-03-13,91.16635859519408
2014-03-14,95.40665434380776
2014-03-15,114.48798521256931
2014-03-16,0.0
2014-03-17,0.0
2014-03-18,0.0
2014-03-19,0.0
2014-03-20,0.0
2014-03-21,0.0
2014-03-22,0.0
2014-03-23,0.0
2014-03-24,0.0
2014-03-25,89.04621072088725
2014-03-26,0.0
2014-03-27,0.0
2014-03-28,93.28650646950092
2014-03-29,0.0
2014-03-30,0.0
2014-03-31,0.0
2014-04-01,0.0
2014-04-02,0.0
2014-04-03,103.16270566727606
2014-04-04,106.28884826325411
2014-04-05,0.0
2014-04-06,0.0
2014-04-07,0.0
2014-04-08,100.03656307129799
2014-04-09,103.16270566727606
2014-04-10,0.0
2014-04-11,0.0
2014-04-12,0.0
2014-04-13,134.42413162705668
2014-04-14,206.32541133455211
2014-04-15,0.0
2014-04-16,0.0
2014-04-17,0.0
2014-04-18,115.6672760511883
2014-04-19,0.0
2014-04-20,0.0
2014-04-21,106.28884826325411
2014-04-22,103.16270566727606
2014-04-23,312.6142595978062
2014-04-24,0.0
2014-04-25,218.82998171846435
2014-04-26,0.0
2014-04-27,0.0
2014-04-28,0.0
2014-04-29,100.03656307129799
2014-04-30,0.0
2014-05-01,0.0
2014-05-02,133.59303482587063
2014-05-03,161.81691542288556
2014-05-04,0.0
2014-05-05,0.0
2014-05-06,0.0
2014-05-07,124.18507462686566
2014-05-08,0.0
2014-05-09,133.59303482587063
2014-05-10,161.81691542288556
2014-05-11,0.0
2014-05-12,127.94825870646766
2014-05-13,0.0
2014-05-14,127.94825870646766
2014-05-15,0.0
2014-05-16,0.0
2014-05-17,0.0
2014-05-18,163.69850746268656
2014-05-19,0.0
2014-05-20,129.82985074626865
2014-05-21,143.0009950248756
2014-05-22,144.8825870646766
2014-05-23,0.0
2014-05-24,0.0
2014-05-25,0.0
2014-05-26,0.0
2014-05-27,0.0
2014-05-28,0.0
2014-05-29,0.0
2014-05-30,150.5273631840796
2014-05-31,188.15920398009948
2014-06-01,67.20977596741345
2014-06-02,0.0
2014-06-03,0.0
2014-06-04,52.42362525458248
2014-06-05,52.42362525458248
2014-06-06,0.0
2014-06-07,0.0
2014-06-08,0.0
2014-06-09,52.42362525458248
2014-06-10,52.42362525458248
2014-06-11,0.0
2014-06-12,0.0
2014-06-13,0.0
2014-06-14,0.0
2014-06-15,0.0
2014-06-16,0.0
2014-06-17,0.0
2014-06-18,0.0
2014-06-19,0.0
2014-06-20,0.0
2014-06-21,0.0
2014-06-22,0.0
2014-06-23,0.0
2014-06-24,0.0
2014-06-25,0.0
2014-06-26,0.0
2014-06-27,0.0
2014-06-28,0.0
2014-06-29,0.0
2014-06-30,53.09572301425662
2014-07-01,0.0
2014-07-02,0.0
2014-07-03,0.0
2014-07-04,0.0
2014-07-05,0.0
2014-07-06,0.0
2014-07-07,0.0
2014-07-08,0.0
2014-07-09,0.0
2014-07-10,0.0
2014-07-11,0.0
2014-07-12,0.0
2014-07-13,0.0
2014-07-14,0.0
2014-07-15,0.0
2014-07-16,0.0
2014-07-17,87.34975369458127
2014-07-18,0.0
2014-07-19,0.0
2014-07-20,0.0
2014-07-21,85.66995073891624
2014-07-22,0.0
2014-07-23,0.0
2014-07-24,0.0
2014-07-25,0.0
2014-07-26,0.0
2014-07-27,0.0
2014-07-28,167.98029556650243
2014-07-29,0.0
2014-07-30,0.0
2014-07-31,0.0
2014-08-01,0.0
2014-08-02,0.0
2014-08-03,0.0
2014-08-04,0.0
2014-08-05,0.0
2014-08-06,0.0
2014-08-07,186.88256227758006
2014-08-08,0.0
2014-08-09,0.0
2014-08-10,0.0
2014-08-11,0.0
2014-08-12,0.0
2014-08-13,0.0
2014-08-14,126.20640569395017
2014-08-15,0.0
2014-08-16,0.0
2014-08-17,0.0
2014-08-18,0.0
2014-08-19,0.0
2014-08-20,242.70462633451956
2014-08-21,0.0
2014-08-22,0.0
2014-08-23,0.0
2014-08-24,0.0
2014-08-25,0.0
2014-08-26,0.0
2014-08-27,0.0
2014-08-28,0.0
2014-08-29,126.20640569395017
2014-08-30,0.0
2014-08-31,0.0
2014-09-01,0.0
2014-09-02,0.0
2014-09-03,0.0
2014-09-04,126.77595628415301
2014-09-05,0.0
2014-09-06,158.46994535519124
2014-09-07,0.0
2014-09-08,126.77595628415301
2014-09-09,0.0
2014-09-10,126.77595628415301
2014-09-11,0.0
2014-09-12,0.0
2014-09-13,0.0
2014-09-14,316.9398907103825
2014-09-15,0.0
2014-09-16,0.0
2014-09-17,126.77595628415301
2014-09-18,0.0
2014-09-19,0.0
2014-09-20,0.0
2014-09-21,0.0
2014-09-22,123.60655737704919
2014-09-23,0.0
2014-09-24,126.77595628415301
2014-09-25,0.0
2014-09-26,133.11475409836066
2014-09-27,0.0
2014-09-28,0.0
2014-09-29,126.77595628415301
2014-09-30,247.21311475409837
2014-10-01,0.0
2014-10-02,106.62822252374491
2014-10-03,0.0
2014-10-04,136.70284938941654
2014-10-05,0.0
2014-10-06,0.0
2014-10-07,103.89416553595657
2014-10-08,103.89416553595657
2014-10-09,106.62822252374491
2014-10-10,0.0
2014-10-11,0.0
2014-10-12,0.0
2014-10-13,0.0
2014-10-14,0.0
2014-10-15,0.0
2014-10-16,103.89416553595657
2014-10-17,0.0
2014-10-18,0.0
2014-10-19,136.70284938941654
2014-10-20,213.25644504748982
2014-10-21,205.0542740841248
2014-10-22,0.0
2014-10-23,103.89416553595657
2014-10-24,109.36227951153325
2014-10-25,273.4056987788331
2014-10-26,0.0
2014-10-27,103.89416553595657
2014-10-28,103.89416553595657
2014-10-29,103.89416553595657
2014-10-30,0.0
2014-10-31,0.0
2014-11-01,137.92569659442722
2014-11-02,0.0
2014-11-03,0.0
2014-11-04,100.3095975232198
2014-11-05,0.0
2014-11-06,200.6191950464396
2014-11-07,0.0
2014-11-08,0.0
2014-11-09,0.0
2014-11-10,0.0
2014-11-11,102.8173374613003
2014-11-12,100.3095975232198
2014-11-13,0.0
2014-11-14,0.0
2014-11-15,0.0
2014-11-16,0.0
2014-11-17,100.3095975232198
2014-11-18,0.0
2014-11-19,0.0
2014-11-20,100.3095975232198
2014-11-21,105.32507739938079
2014-11-22,0.0
2014-11-23,0.0
2014-11-24,97.8018575851393
2014-11-25,102.8173374613003
2014-11-26,220.68111455108357
2014-11-27,0.0
2014-11-28,0.0
2014-11-29,0.0
2014-11-30,250.7739938080495
2014-12-01,0.0
2014-12-02,121.86732186732186
2014-12-03,0.0
2014-12-04,380.8353808353808
2014-12-05,258.968058968059
2014-12-06,0.0
2014-12-07,0.0
2014-12-08,247.54299754299754
2014-12-09,251.35135135135135
2014-12-10,0.0
2014-12-11,129.4840294840295
2014-12-12,137.1007371007371
2014-12-13,167.56756756756755
2014-12-14,167.56756756756755
2014-12-15,0.0
2014-12-16,0.0
2014-12-17,0.0
2014-12-18,137.1007371007371
2014-12-19,0.0
2014-12-20,0.0
2014-12-21,178.992628992629
2014-12-22,0.0
2014-12-23,148.5257985257985
2014-12-24,0.0
2014-12-25,0.0
2014-12-26,167.56756756756755
2014-12-27,0.0
2014-12-28,171.37592137592137
2014-12-29,0.0
2014-12-30,285.6265356265356
2014-12-31,148.5257985257985
2015-01-01,0.0
2015-01-02,0.0
2015-01-03,128.67924528301887
2015-01-04,0.0
2015-01-05,0.0
2015-01-06,0.0
2015-01-07,105.08805031446542
2015-01-08,0.0
2015-01-09,105.08805031446542
2015-01-10,0.0
2015-01-11,126.53459119496857
2015-01-12,203.7421383647799
2015-01-13,0.0
2015-01-14,102.9433962264151
2015-01-15,102.9433962264151
2015-01-16,214.46540880503147
2015-01-17,130.8238993710692
2015-01-18,0.0
2015-01-19,109.37735849056605
2015-01-20,0.0
2015-01-21,102.9433962264151
2015-01-22,102.9433962264151
2015-01-23,107.23270440251574
2015-01-24,0.0
2015-01-25,0.0
2015-01-26,100.79874213836479
2015-01-27,0.0
2015-01-28,201.59748427672957
2015-01-29,100.79874213836479
2015-01-30,0.0
2015-01-31,0.0
2015-02-01,0.0
2015-02-02,149.8378378378378
2015-02-03,151.35135135135133
2015-02-04,75.67567567567566
2015-02-05,0.0
2015-02-06,0.0
2015-02-07,0.0
2015-02-08,0.0
2015-02-09,75.67567567567566
2015-02-10,74.16216216216216
2015-02-11,74.16216216216216
2015-02-12,74.16216216216216
2015-02-13,0.0
2015-02-14,0.0
2015-02-15,96.86486486486486
2015-02-16,0.0
2015-02-17,0.0
2015-02-18,77.18918918918918
2015-02-19,77.18918918918918
2015-02-20,0.0
2015-02-21,0.0
2015-02-22,95.35135135135134
2015-02-23,74.16216216216216
2015-02-24,0.0
2015-02-25,75.67567567567566
2015-02-26,0.0
2015-02-27,77.18918918918918
2015-02-28,95.35135135135134
2015-03-01,125.24892086330937
2015-03-02,102.76834532374102
2015-03-03,305.09352517985616
2015-03-04,208.74820143884895
2015-03-05,102.76834532374102
2015-03-06,0.0
2015-03-07,131.67194244604318
2015-03-08,0.0
2015-03-09,0.0
2015-03-10,0.0
2015-03-11,0.0
2015-03-12,0.0
2015-03-13,109.19136690647483
2015-03-14,266.55539568345324
2015-03-15,0.0
2015-03-16,0.0
2015-03-17,321.15107913669067
2015-03-18,211.95971223021584
2015-03-19,0.0
2015-03-20,0.0
2015-03-21,0.0
2015-03-22,131.67194244604318
2015-03-23,0.0
2015-03-24,0.0
2015-03-25,0.0
2015-03-26,0.0
2015-03-27,109.19136690647483
2015-03-28,0.0
2015-03-29,0.0
2015-03-30,105.97985611510792
2015-03-31,0.0
2015-04-01,265.0
2015-04-02,0.0
2015-04-03,144.7938144329897
2015-04-04,0.0
2015-04-05,0.0
2015-04-06,0.0
2015-04-07,0.0
2015-04-08,0.0
2015-04-09,128.4020618556701
2015-04-10,273.1958762886598
2015-04-11,0.0
2015-04-12,0.0
2015-04-13,128.4020618556701
2015-04-14,0.0
2015-04-15,0.0
2015-04-16,0.0
2015-04-17,0.0
2015-04-18,0.0
2015-04-19,0.0
2015-04-20,0.0
2015-04-21,0.0
2015-04-22,128.4020618556701
2015-04-23,133.8659793814433
2015-04-24,0.0
2015-04-25,0.0
2015-04-26,0.0
2015-04-27,128.4020618556701
2015-04-28,128.4020618556701
2015-04-29,131.1340206185567
2015-04-30,0.0
2015-05-01,103.48785046728973
2015-05-02,0.0
2015-05-03,0.0
2015-05-04,0.0
2015-05-05,0.0
2015-05-06,99.08411214953271
2015-05-07,0.0
2015-05-08,0.0
2015-05-09,134.31401869158879
2015-05-10,0.0
2015-05-11,101.28598130841122
2015-05-12,101.28598130841122
2015-05-13,0.0
2015-05-14,103.48785046728973
2015-05-15,0.0
2015-05-16,0.0
2015-05-17,0.0
2015-05-18,101.28598130841122
2015-05-19,0.0
2015-05-20,0.0
2015-05-21,213.58130841121496
2015-05-22,0.0
2015-05-23,0.0
2015-05-24,0.0
2015-05-25,0.0
2015-05-26,0.0
2015-05-27,0.0
2015-05-28,0.0
2015-05-29,220.1869158878505
2015-05-30,0.0
2015-05-31,0.0
2015-06-01,0.0
2015-06-02,125.57788944723617
2015-06-03,128.14070351758792
2015-06-04,0.0
2015-06-05,0.0
2015-06-06,0.0
2015-06-07,0.0
2015-06-08,125.57788944723617
2015-06-09,125.57788944723617
2015-06-10,125.57788944723617
2015-06-11,0.0
2015-06-12,0.0
2015-06-13,0.0
2015-06-14,0.0
2015-06-15,0.0
2015-06-16,0.0
2015-06-17,0.0
2015-06-18,0.0
2015-06-19,0.0
2015-06-20,0.0
2015-06-21,0.0
2015-06-22,0.0
2015-06-23,0.0
2015-06-24,0.0
2015-06-25,0.0
2015-06-26,133.26633165829145
2015-06-27,0.0
2015-06-28,0.0
2015-06-29,0.0
2015-06-30,256.28140703517585
2015-07-01,0.0
2015-07-02,146.51347517730497
2015-07-03,0.0
2015-07-04,0.0
2015-07-05,0.0
2015-07-06,137.89503546099291
2015-07-07,137.89503546099291
2015-07-08,142.20425531914896
2015-07-09,137.89503546099291
2015-07-10,0.0
2015-07-11,176.67801418439717
2015-07-12,0.0
2015-07-13,137.89503546099291
2015-07-14,275.79007092198583
2015-07-15,0.0
2015-07-16,137.89503546099291
2015-07-17,146.51347517730497
2015-07-18,180.9872340425532
2015-07-19,0.0
2015-07-20,430.92198581560285
2015-07-21,137.89503546099291
2015-07-22,137.89503546099291
2015-07-23,0.0
2015-07-24,146.51347517730497
2015-07-25,0.0
2015-07-26,0.0
2015-07-27,137.89503546099291
2015-07-28,0.0
2015-07-29,0.0
2015-07-30,0.0
2015-07-31,288.7177304964539
2015-08-01,0.0
2015-08-02,158.37445573294627
2015-08-03,0.0
2015-08-04,248.35994194484758
2015-08-05,0.0
2015-08-06,0.0
2015-08-07,0.0
2015-08-08,0.0
2015-08-09,0.0
2015-08-10,122.38026124818578
2015-08-11,244.76052249637155
2015-08-12,248.35994194484758
2015-08-13,0.0
2015-08-14,0.0
2015-08-15,0.0
2015-08-16,0.0
2015-08-17,0.0
2015-08-18,122.38026124818578
2015-08-19,122.38026124818578
2015-08-20,122.38026124818578
2015-08-21,251.95936139332363
2015-08-22,0.0
2015-08-23,0.0
2015-08-24,359.9419448476052
2015-08-25,118.78084179970972
2015-08-26,118.78084179970972
2015-08-27,118.78084179970972
2015-08-28,122.38026124818578
2015-08-29,0.0
2015-08-30,0.0
2015-08-31,0.0
2015-09-01,273.1155192532089
2015-09-02,0.0
2015-09-03,0.0
2015-09-04,290.54842473745623
2015-09-05,0.0
2015-09-06,0.0
2015-09-07,0.0
2015-09-08,136.55775962660445
2015-09-09,0.0
2015-09-10,133.65227537922988
2015-09-11,0.0
2015-09-12,0.0
2015-09-13,171.4235705950992
2015-09-14,273.1155192532089
2015-09-15,136.55775962660445
2015-09-16,136.55775962660445
2015-09-17,133.65227537922988
2015-09-18,0.0
2015-09-19,0.0
2015-09-20,0.0
2015-09-21,0.0
2015-09-22,133.65227537922988
2015-09-23,0.0
2015-09-24,136.55775962660445
2015-09-25,139.463243873979
2015-09-26,0.0
2015-09-27,0.0
2015-09-28,133.65227537922988
2015-09-29,130.7467911318553
2015-09-30,130.7467911318553
2015-10-01,0.0
2015-10-02,135.0366492146597
2015-10-03,0.0
2015-10-04,0.0
2015-10-05,0.0
2015-10-06,129.84293193717278
2015-10-07,129.84293193717278
2015-10-08,0.0
2015-10-09,0.0
2015-10-10,0.0
2015-10-11,176.58638743455498
2015-10-12,0.0
2015-10-13,0.0
2015-10-14,519.3717277486911
2015-10-15,0.0
2015-10-16,0.0
2015-10-17,0.0
2015-10-18,0.0
2015-10-19,0.0
2015-10-20,0.0
2015-10-21,503.7905759162304
2015-10-22,0.0
2015-10-23,0.0
2015-10-24,0.0
2015-10-25,0.0
2015-10-26,0.0
2015-10-27,254.49214659685865
2015-10-28,0.0
2015-10-29,0.0
2015-10-30,135.0366492146597
2015-10-31,0.0
2015-11-01,0.0
2015-11-02,0.0
2015-11-03,80.69967707212056
2015-11-04,161.39935414424113
2015-11-05,164.69321851453176
2015-11-06,0.0
2015-11-07,0.0
2015-11-08,0.0
2015-11-09,0.0
2015-11-10,0.0
2015-11-11,85.64047362755652
2015-11-12,83.9935414424112
2015-11-13,0.0
2015-11-14,0.0
2015-11-15,0.0
2015-11-16,164.69321851453176
2015-11-17,161.39935414424113
2015-11-18,0.0
