Date,Gold
2013-01-01,51.48911798396334
2013-01-02,67.96563573883161
2013-01-03,67.96563573883161
2013-01-04,67.96563573883161
2013-01-05,67.2791141657121
2013-01-06,50.11607483772432
2013-01-07,61.78694158075601
2013-01-08,59.727376861397474
2013-01-09,63.84650630011454
2013-01-10,56.981290568919434
2013-01-11,58.354333715158454
2013-01-12,54.9217258495609
2013-01-13,47.36998854524627
2013-01-14,60.41389843451699
2013-01-15,55.60824742268041
2013-01-16,56.981290568919434
2013-01-17,63.84650630011454
2013-01-18,68.65215731195113
2013-01-19,59.727376861397474
2013-01-20,38.44520809469263
2013-01-21,50.80259641084383
2013-01-22,54.23520427644139
2013-01-23,53.54868270332187
2013-01-24,52.86216113020237
2013-01-25,63.84650630011454
2013-01-26,62.47346315387552
2013-01-27,51.48911798396334
2013-01-28,59.04085528827797
2013-01-29,55.60824742268041
2013-01-30,54.9217258495609
2013-01-31,59.727376861397474
2013-02-01,56.649104320337194
2013-02-02,55.763962065331924
2013-02-03,50.453108535300316
2013-02-04,47.797681770284505
2013-02-05,53.99367755532139
2013-02-06,53.10853530031612
2013-02-07,46.91253951527924
2013-02-08,48.682824025289776
2013-02-09,50.453108535300316
2013-02-10,45.1422550052687
2013-02-11,58.419388830347735
2013-02-12,57.534246575342465
2013-02-13,53.99367755532139
2013-02-14,53.99367755532139
2013-02-15,77.89251844046365
2013-02-16,59.304531085353
2013-02-17,40.71654373024236
2013-02-18,56.649104320337194
2013-02-19,69.04109589041096
2013-02-20,77.89251844046365
2013-02-21,88.51422550052686
2013-02-22,76.1222339304531
2013-02-23,79.66280295047417
2013-02-24,55.763962065331924
2013-02-25,64.61538461538461
2013-02-26,67.27081138040042
2013-02-27,65.50052687038988
2013-02-28,68.15595363540568
2013-03-01,64.81262327416172
2013-03-02,51.20197238658777
2013-03-03,48.6094674556213
2013-03-04,59.62761341222879
2013-03-05,62.86824457593688
2013-03-06,58.331360946745555
2013-03-07,55.738856015779085
2013-03-08,57.68323471400394
2013-03-09,50.55384615384615
2013-03-10,40.18382642998027
2013-03-11,56.3869822485207
2013-03-12,53.79447731755423
2013-03-13,57.68323471400394
2013-03-14,53.146351084812615
2013-03-15,52.498224852071
2013-03-16,46.66508875739645
2013-03-17,43.42445759368836
2013-03-18,64.81262327416172
2013-03-19,58.331360946745555
2013-03-20,57.68323471400394
2013-03-21,58.97948717948717
2013-03-22,53.79447731755423
2013-03-23,49.25759368836292
2013-03-24,40.18382642998027
2013-03-25,57.68323471400394
2013-03-26,50.55384615384615
2013-03-27,52.498224852071
2013-03-28,56.3869822485207
2013-03-29,47.96134122287968
2013-03-30,42.128205128205124
2013-03-31,39.535700197238654
2013-04-01,51.93482688391039
2013-04-02,64.15478615071284
2013-04-03,67.20977596741345
2013-04-04,73.31975560081466
2013-04-05,73.31975560081466
2013-04-06,48.87983706720978
2013-04-07,42.76985743380855
2013-04-08,58.04480651731161
2013-04-09,54.989816700611
2013-04-10,61.099796334012225
2013-04-11,64.15478615071284
2013-04-12,100.81466395112017
2013-04-13,88.59470468431772
2013-04-14,70.26476578411406
2013-04-15,305.4989816700611
2013-04-16,305.4989816700611
2013-04-17,207.73930753564156
2013-04-18,164.969450101833
2013-04-19,137.4745417515275
2013-04-20,85.5397148676171
2013-04-21,73.31975560081466
2013-04-22,109.979633401222
2013-04-23,103.86965376782078
2013-04-24,97.75967413441956
2013-04-25,100.81466395112017
2013-04-26,97.75967413441956
2013-04-27,70.26476578411406
2013-04-28,61.099796334012225
2013-04-29,79.42973523421588
2013-04-30,79.42973523421588
2013-05-01,80.39028620988725
2013-05-02,72.52601908065915
2013-05-03,72.52601908065915
2013-05-04,55.923677363399825
2013-05-05,51.55464006938421
2013-05-06,65.53555941023417
2013-05-07,64.66175195143104
2013-05-08,65.53555941023417
2013-05-09,61.16652211621856
2013-05-10,63.78794449262793
2013-05-11,50.68083261058109
2013-05-12,48.93321769297485
2013-05-13,69.03078924544666
2013-05-14,68.15698178664354
2013-05-15,76.02124891587164
2013-05-16,81.26409366869036
2013-05-17,84.75932350390286
2013-05-18,69.03078924544666
2013-05-19,50.68083261058109
2013-05-20,87.38074588031223
2013-05-21,76.02124891587164
2013-05-22,70.7784041630529
2013-05-23,71.65221162185603
2013-05-24,63.78794449262793
2013-05-25,53.302254986990455
2013-05-26,48.05941023417172
2013-05-27,48.93321769297485
2013-05-28,63.78794449262793
2013-05-29,58.545099739809196
2013-05-30,55.923677363399825
2013-05-31,64.66175195143104
2013-06-01,44.13649851632048
2013-06-02,39.36498516320475
2013-06-03,58.45103857566766
2013-06-04,59.64391691394659
2013-06-05,58.45103857566766
2013-06-06,59.64391691394659
2013-06-07,62.02967359050446
2013-06-08,59.64391691394659
2013-06-09,45.32937685459941
2013-06-10,57.25816023738873
2013-06-11,60.83679525222553
2013-06-12,53.67952522255193
2013-06-13,60.83679525222553
2013-06-14,50.10089020771514
2013-06-15,46.52225519287834
2013-06-16,35.78635014836796
2013-06-17,56.0652818991098
2013-06-18,51.29376854599407
2013-06-19,57.25816023738873
2013-06-20,112.1305637982196
2013-06-21,108.5519287833828
2013-06-22,70.37982195845699
2013-06-23,53.67952522255193
2013-06-24,78.7299703264095
2013-06-25,79.92284866468843
2013-06-26,114.51632047477746
2013-06-27,115.70919881305639
2013-06-28,119.28783382789318
2013-06-29,84.69436201780417
2013-06-30,56.0652818991098
2013-07-01,84.28417421302285
2013-07-02,86.89090125053902
2013-07-03,72.98835705045278
2013-07-04,59.08581285036654
2013-07-05,77.33290211297972
