Date,Silver
2013-01-01,68.96952296819788
2013-01-02,99.95583038869258
2013-01-03,89.96024734982332
2013-01-04,84.96245583038869
2013-01-05,71.96819787985865
2013-01-06,64.97128975265018
2013-01-07,69.96908127208481
2013-01-08,77.9655477031802
2013-01-09,73.9673144876325
2013-01-10,69.96908127208481
2013-01-11,68.96952296819788
2013-01-12,71.96819787985865
2013-01-13,59.97349823321555
2013-01-14,78.96510600706713
2013-01-15,68.96952296819788
2013-01-16,63.97173144876325
2013-01-17,73.9673144876325
2013-01-18,88.96068904593639
2013-01-19,72.96775618374558
2013-01-20,49.97791519434629
2013-01-21,60.97305653710247
2013-01-22,70.96863957597174
2013-01-23,75.96643109540636
2013-01-24,78.96510600706713
2013-01-25,77.9655477031802
2013-01-26,68.96952296819788
2013-01-27,61.9726148409894
2013-01-28,67.96996466431095
2013-01-29,74.96687279151944
2013-01-30,74.96687279151944
2013-01-31,77.9655477031802
2013-02-01,67.33907754688293
2013-02-02,58.01520527116068
2013-02-03,51.79929042067918
2013-02-04,65.26710593005576
2013-02-05,76.66294982260519
2013-02-06,73.55499239736443
2013-02-07,66.30309173846935
2013-02-08,68.37506335529652
2013-02-09,63.1951343132286
2013-02-10,64.23112012164218
2013-02-11,75.6269640141916
2013-02-12,68.37506335529652
2013-02-13,68.37506335529652
2013-02-14,70.44703497212369
2013-02-15,75.6269640141916
2013-02-16,68.37506335529652
2013-02-17,52.83527622909276
2013-02-18,79.77090724784594
2013-02-19,76.66294982260519
2013-02-20,103.59858084135836
2013-02-21,95.31069437404969
2013-02-22,83.91485048150027
2013-02-23,73.55499239736443
2013-02-24,69.4110491637101
2013-02-25,88.05879371515461
2013-02-26,81.8428788646731
2013-02-27,70.44703497212369
2013-02-28,87.02280790674102
2013-03-01,83.81614522981846
2013-03-02,69.56740054074932
2013-03-03,62.023947470065664
2013-03-04,74.59636925453843
2013-03-05,77.94901506373117
2013-03-06,83.81614522981846
2013-03-07,79.62533796832754
2013-03-08,68.72923908845114
2013-03-09,68.72923908845114
2013-03-10,50.28968713789108
2013-03-11,82.97798377752028
2013-03-12,69.56740054074932
2013-03-13,67.89107763615296
2013-03-14,79.62533796832754
2013-03-15,63.70027037466203
2013-03-16,59.50946311317111
2013-03-17,58.67130166087292
2013-03-18,77.94901506373117
2013-03-19,80.46349942062572
2013-03-20,82.1398223252221
2013-03-21,82.1398223252221
2013-03-22,67.89107763615296
2013-03-23,58.67130166087292
2013-03-24,48.61336423329471
2013-03-25,69.56740054074932
2013-03-26,68.72923908845114
2013-03-27,72.08188489764387
2013-03-28,82.1398223252221
2013-03-29,63.70027037466203
2013-03-30,60.34762456546929
2013-03-31,54.480494399382
2013-04-01,81.25
2013-04-02,89.58333333333334
2013-04-03,102.08333333333334
2013-04-04,91.66666666666667
2013-04-05,87.5
2013-04-06,75.0
2013-04-07,52.083333333333336
2013-04-08,75.0
2013-04-09,83.33333333333334
2013-04-10,77.08333333333334
2013-04-11,79.16666666666667
2013-04-12,102.08333333333334
2013-04-13,100.0
2013-04-14,81.25
2013-04-15,208.33333333333334
2013-04-16,204.16666666666669
2013-04-17,152.08333333333334
2013-04-18,137.5
2013-04-19,104.16666666666667
2013-04-20,93.75
2013-04-21,83.33333333333334
2013-04-22,100.0
2013-04-23,112.50000000000001
2013-04-24,104.16666666666667
2013-04-25,112.50000000000001
2013-04-26,100.0
2013-04-27,77.08333333333334
2013-04-28,64.58333333333334
2013-04-29,85.41666666666667
2013-04-30,83.33333333333334
2013-05-01,84.43579766536965
2013-05-02,77.68093385214007
2013-05-03,74.3035019455253
2013-05-04,67.54863813229572
2013-05-05,58.26070038910506
2013-05-06,73.4591439688716
2013-05-07,72.6147859922179
2013-05-08,71.7704280155642
2013-05-09,73.4591439688716
2013-05-10,68.39299610894942
2013-05-11,56.57198443579767
2013-05-12,47.284046692607006
2013-05-13,73.4591439688716
2013-05-14,75.99221789883268
2013-05-15,79.36964980544747
2013-05-16,76.83657587548637
2013-05-17,77.68093385214007
2013-05-18,64.17120622568093
2013-05-19,54.88326848249027
2013-05-20,79.36964980544747
2013-05-21,82.74708171206225
2013-05-22,84.43579766536965
2013-05-23,77.68093385214007
2013-05-24,63.326848249027236
2013-05-25,59.10505836575876
2013-05-26,48.1284046692607
2013-05-27,54.038910505836576
2013-05-28,78.52529182879377
2013-05-29,67.54863813229572
2013-05-30,70.92607003891051
2013-05-31,75.99221789883268
2013-06-01,56.951871657754005
2013-06-02,48.97860962566845
2013-06-03,61.508021390374324
2013-06-04,74.03743315508021
2013-06-05,54.67379679144385
2013-06-06,72.89839572192513
2013-06-07,69.48128342245988
2013-06-08,63.78609625668449
2013-06-09,44.42245989304812
2013-06-10,68.3422459893048
2013-06-11,67.20320855614973
2013-06-12,62.647058823529406
2013-06-13,60.36898395721924
2013-06-14,66.06417112299465
2013-06-15,59.22994652406417
2013-06-16,44.42245989304812
2013-06-17,66.06417112299465
2013-06-18,62.647058823529406
2013-06-19,59.22994652406417
2013-06-20,113.90374331550801
2013-06-21,103.65240641711229
2013-06-22,70.62032085561496
2013-06-23,55.81283422459892
2013-06-24,84.28877005347593
2013-06-25,88.84491978609624
2013-06-26,101.37433155080213
2013-06-27,110.48663101604276
2013-06-28,105.93048128342245
2013-06-29,78.59358288770052
2013-06-30,53.53475935828877
2013-07-01,83.4984520123839
2013-07-02,86.37770897832817
2013-07-03,76.78018575851394
2013-07-04,63.34365325077399
2013-07-05,77.73993808049535
2013-07-06,67.18266253869969
2013-07-07,54.705882352941174
