Date,Wind Power
2013-01-01,62.944162436548226
2013-01-02,86.86294416243655
2013-01-03,74.2741116751269
2013-01-04,79.30964467005076
2013-01-05,49.09644670050761
2013-01-06,47.83756345177665
2013-01-07,85.60406091370558
2013-01-08,89.38071065989848
2013-01-09,94.41624365482234
2013-01-10,90.63959390862944
2013-01-11,93.15736040609137
2013-01-12,50.35532994923858
2013-01-13,67.97969543147208
2013-01-14,98.19289340101523
2013-01-15,85.60406091370558
2013-01-16,95.6751269035533
2013-01-17,88.12182741116752
2013-01-18,93.15736040609137
2013-01-19,67.97969543147208
2013-01-20,54.131979695431475
2013-01-21,74.2741116751269
2013-01-22,73.01522842639594
2013-01-23,90.63959390862944
2013-01-24,94.41624365482234
2013-01-25,84.34517766497461
2013-01-26,47.83756345177665
2013-01-27,59.16751269035533
2013-01-28,78.05076142131979
2013-01-29,85.60406091370558
2013-01-30,112.04060913705584
2013-01-31,125.88832487309645
2013-02-01,96.66666666666666
2013-02-02,43.5
2013-02-03,54.375
2013-02-04,102.70833333333333
2013-02-05,85.79166666666666
2013-02-06,106.33333333333333
2013-02-07,102.70833333333333
2013-02-08,97.875
2013-02-09,60.416666666666664
2013-02-10,87.0
2013-02-11,112.375
2013-02-12,96.66666666666666
2013-02-13,87.0
2013-02-14,66.45833333333333
2013-02-15,89.41666666666666
2013-02-16,53.166666666666664
2013-02-17,71.29166666666666
2013-02-18,70.08333333333333
2013-02-19,107.54166666666666
2013-02-20,109.95833333333333
2013-02-21,102.70833333333333
2013-02-22,84.58333333333333
2013-02-23,50.75
2013-02-24,56.791666666666664
2013-02-25,105.125
2013-02-26,120.83333333333333
2013-02-27,118.41666666666666
2013-02-28,95.45833333333333
2013-03-01,85.9811320754717
2013-03-02,60.298456260720414
2013-03-03,69.23156089193826
2013-03-04,101.61406518010291
2013-03-05,107.19725557461408
2013-03-06,97.147512864494
2013-03-07,100.49742710120069
2013-03-08,84.86449399656946
2013-03-09,45.78216123499143
2013-03-10,66.99828473413379
2013-03-11,93.79759862778731
2013-03-12,102.73070325900515
2013-03-13,103.84734133790738
2013-03-14,99.38078902229846
2013-03-15,78.16466552315609
2013-03-16,69.23156089193826
2013-03-17,72.58147512864494
2013-03-18,78.16466552315609
2013-03-19,99.38078902229846
2013-03-20,111.66380789022298
2013-03-21,107.19725557461408
2013-03-22,97.147512864494
2013-03-23,60.298456260720414
2013-03-24,60.298456260720414
2013-03-25,88.21440823327616
2013-03-26,99.38078902229846
2013-03-27,93.79759862778731
2013-03-28,83.74785591766724
2013-03-29,63.6483704974271
2013-03-30,62.531732418524875
2013-03-31,59.18181818181819
2013-04-01,96.67642752562226
2013-04-02,103.48462664714495
2013-04-03,107.56954612005858
2013-04-04,92.59150805270865
2013-04-05,84.42166910688141
2013-04-06,55.82723279648609
2013-04-07,76.25183016105417
2013-04-08,95.31478770131773
2013-04-09,134.80234260614935
2013-04-10,103.48462664714495
2013-04-11,103.48462664714495
2013-04-12,85.78330893118596
2013-04-13,54.465592972181554
2013-04-14,69.44363103953148
2013-04-15,102.12298682284042
2013-04-16,111.65446559297219
2013-04-17,100.76134699853588
2013-04-18,104.8462664714495
2013-04-19,89.86822840409957
2013-04-20,55.82723279648609
2013-04-21,63.99707174231333
2013-04-22,136.1639824304539
2013-04-23,114.37774524158127
2013-04-24,108.93118594436311
2013-04-25,89.86822840409957
2013-04-26,93.95314787701318
2013-04-27,61.27379209370425
2013-04-28,66.7203513909224
2013-04-29,100.76134699853588
2013-04-30,125.27086383601758
2013-05-01,110.66262249183389
2013-05-02,104.51469902006534
2013-05-03,86.07092860475969
2013-05-04,63.938404106392916
2013-05-05,63.938404106392916
2013-05-06,122.95846943537099
2013-05-07,98.36677554829679
2013-05-08,100.82594493700421
2013-05-09,97.13719085394308
2013-05-10,92.21885207652824
2013-05-11,41.80587960802614
2013-05-12,66.39757349510033
2013-05-13,103.28511432571163
2013-05-14,122.95846943537099
2013-05-15,118.04013065795615
2013-05-16,113.12179188054131
2013-05-17,77.46383574428373
2013-05-18,50.412972468502105
2013-05-19,52.87214185720953
2013-05-20,100.82594493700421
2013-05-21,103.28511432571163
2013-05-22,97.13719085394308
2013-05-23,99.5963602426505
2013-05-24,63.938404106392916
2013-05-25,44.265048996733555
2013-05-26,51.642557162855816
2013-05-27,55.33131124591694
2013-05-28,77.46383574428373
2013-05-29,90.98926738217453
2013-05-30,90.98926738217453
2013-05-31,72.54549696686888
2013-06-01,49.23698837796867
2013-06-02,63.30469934310257
2013-06-03,87.92319353208691
2013-06-04,76.49317837291561
2013-06-05,62.4254674077817
2013-06-06,84.40626579080343
2013-06-07,61.546235472460836
2013-06-08,48.3577564426478
2013-06-09,59.787771601819095
2013-06-10,64.18393127842344
2013-06-11,65.06316321374432
2013-06-12,57.15007579585649
2013-06-13,61.546235472460836
2013-06-14,38.68620515411824
2013-06-15,44.84082870136432
2013-06-16,67.70085901970693
2013-06-17,59.787771601819095
2013-06-18,58.90853966649823
2013-06-19,67.70085901970693
2013-06-20,41.32390096008085
2013-06-21,44.84082870136432
2013-06-22,43.08236483072258
2013-06-23,53.63314805457301
2013-06-24,47.47852450732693
2013-06-25,56.27084386053562
2013-06-26,58.02930773117736
2013-06-27,58.02930773117736
2013-06-28,59.787771601819095
2013-06-29,50.11622031328954
2013-06-30,48.3577564426478
2013-07-01,71.43478260869564
2013-07-02,56.281949934123844
2013-07-03,56.281949934123844
2013-07-04,26.69784804567413
2013-07-05,41.12911725955204
2013-07-06,64.2191480017567
2013-07-07,51.95256916996047
