Date,Hydroelectric
2004-01-01,0.0
2004-01-02,0.0
2004-01-03,42.74791318864774
2004-01-04,125.19031719532553
2004-01-05,97.70951585976627
2004-01-06,0.0
2004-01-07,122.13689482470784
2004-01-08,24.427378964941568
2004-01-09,51.90818030050083
2004-01-10,79.3889816360601
2004-01-11,82.44240400667779
2004-01-12,48.854757929883135
2004-01-13,140.457429048414
2004-01-14,143.51085141903172
2004-01-15,73.2821368948247
2004-01-16,24.427378964941568
2004-01-17,39.69449081803005
2004-01-18,79.3889816360601
2004-01-19,82.44240400667779
2004-01-20,0.0
2004-01-21,70.228714524207
2004-01-22,24.427378964941568
2004-01-23,24.427378964941568
2004-01-24,0.0
2004-01-25,36.64106844741235
2004-01-26,45.80133555926544
2004-01-27,116.03005008347245
2004-01-28,70.228714524207
2004-01-29,70.228714524207
2004-01-30,76.3355592654424
2004-01-31,36.64106844741235
2004-02-01,124.39363241678726
2004-02-02,121.12011577424023
2004-02-03,68.7438494934877
2004-02-04,22.914616497829233
2004-02-05,117.8465991316932
2004-02-06,26.188133140376266
2004-02-07,0.0
2004-02-08,58.9232995658466
2004-02-09,98.20549927641099
2004-02-10,22.914616497829233
2004-02-11,94.93198263386397
2004-02-12,49.102749638205495
2004-02-13,104.75253256150506
2004-02-14,42.555716353111436
2004-02-15,0.0
2004-02-16,81.83791606367583
2004-02-17,121.12011577424023
2004-02-18,94.93198263386397
2004-02-19,72.01736613603472
2004-02-20,127.66714905933429
2004-02-21,39.2821997105644
2004-02-22,117.8465991316932
2004-02-23,140.76121562952244
2004-02-24,72.01736613603472
2004-02-25,163.67583212735167
2004-02-26,94.93198263386397
2004-02-27,101.47901591895803
2004-02-28,81.83791606367583
2004-02-29,0.0
2004-03-01,107.14285714285715
2004-03-02,178.57142857142858
2004-03-03,0.0
2004-03-04,71.42857142857143
2004-03-05,96.42857142857143
2004-03-06,0.0
2004-03-07,253.57142857142858
2004-03-08,0.0
2004-03-09,0.0
2004-03-10,35.714285714285715
2004-03-11,0.0
2004-03-12,39.285714285714285
2004-03-13,42.85714285714286
2004-03-14,42.85714285714286
2004-03-15,103.57142857142858
2004-03-16,78.57142857142857
2004-03-17,210.71428571428572
2004-03-18,82.14285714285715
2004-03-19,57.142857142857146
2004-03-20,89.28571428571429
2004-03-21,89.28571428571429
2004-03-22,207.14285714285717
2004-03-23,0.0
2004-03-24,178.57142857142858
2004-03-25,189.2857142857143
2004-03-26,357.14285714285717
2004-03-27,0.0
2004-03-28,46.42857142857143
2004-03-29,128.57142857142858
2004-03-30,171.42857142857144
2004-03-31,242.85714285714286
2004-04-01,96.74157303370787
2004-04-02,210.75842696629212
2004-04-03,86.37640449438202
2004-04-04,82.92134831460675
2004-04-05,100.19662921348315
2004-04-06,72.5561797752809
2004-04-07,24.185393258426966
2004-04-08,103.65168539325842
2004-04-09,31.095505617977526
2004-04-10,44.91573033707865
2004-04-11,0.0
2004-04-12,0.0
2004-04-13,0.0
2004-04-14,165.8426966292135
2004-04-15,96.74157303370787
2004-04-16,217.6685393258427
2004-04-17,44.91573033707865
2004-04-18,86.37640449438202
2004-04-19,96.74157303370787
2004-04-20,138.20224719101122
2004-04-21,24.185393258426966
2004-04-22,96.74157303370787
2004-04-23,51.82584269662921
2004-04-24,86.37640449438202
2004-04-25,41.46067415730337
2004-04-26,69.10112359550561
2004-04-27,138.20224719101122
2004-04-28,72.5561797752809
2004-04-29,48.37078651685393
2004-04-30,131.29213483146066
2004-05-01,0.0
2004-05-02,0.0
2004-05-03,22.225770925110133
2004-05-04,193.68171806167402
2004-05-05,85.72797356828194
2004-05-06,114.30396475770925
2004-05-07,98.4284140969163
2004-05-08,206.38215859030836
2004-05-09,123.82929515418502
2004-05-10,92.07819383259913
2004-05-11,63.502202643171806
2004-05-12,41.27643171806167
2004-05-13,130.1795154185022
2004-05-14,193.68171806167402
2004-05-15,41.27643171806167
2004-05-16,41.27643171806167
2004-05-17,130.1795154185022
2004-05-18,107.95374449339208
2004-05-19,133.35462555066078
2004-05-20,136.5297356828194
2004-05-21,95.2533039647577
2004-05-22,79.37775330396477
2004-05-23,38.10132158590309
2004-05-24,152.40528634361235
2004-05-25,66.67731277533039
2004-05-26,111.12885462555066
2004-05-27,92.07819383259913
2004-05-28,76.20264317180617
2004-05-29,44.451541850220266
2004-05-30,136.5297356828194
2004-05-31,34.92621145374449
2004-06-01,160.3016241299304
2004-06-02,91.60092807424593
2004-06-03,143.9443155452436
2004-06-04,127.58700696055683
2004-06-05,0.0
2004-06-06,0.0
2004-06-07,117.77262180974478
2004-06-08,22.900232018561482
2004-06-09,22.900232018561482
2004-06-10,22.900232018561482
2004-06-11,26.171693735498838
2004-06-12,85.05800464037122
2004-06-13,0.0
2004-06-14,22.900232018561482
2004-06-15,94.8723897911833
2004-06-16,22.900232018561482
2004-06-17,49.071925754060324
2004-06-18,0.0
2004-06-19,42.52900232018561
2004-06-20,0.0
2004-06-21,0.0
2004-06-22,68.70069605568445
2004-06-23,94.8723897911833
2004-06-24,49.071925754060324
2004-06-25,52.343387470997676
2004-06-26,0.0
2004-06-27,45.800464037122964
2004-06-28,22.900232018561482
2004-06-29,22.900232018561482
2004-06-30,0.0
2004-07-01,47.41176470588235
2004-07-02,0.0
2004-07-03,41.94117647058823
2004-07-04,45.58823529411764
2004-07-05,0.0
2004-07-06,21.882352941176467
2004-07-07,0.0
2004-07-08,0.0
2004-07-09,25.529411764705877
2004-07-10,0.0
2004-07-11,0.0
2004-07-12,0.0
2004-07-13,21.882352941176467
