Date,Recession
2013-01-01,39.89565217391304
2013-01-02,37.04596273291925
2013-01-03,30.63416149068323
2013-01-04,38.47080745341615
2013-01-05,19.235403726708075
2013-01-06,29.209316770186334
2013-01-07,29.92173913043478
2013-01-08,38.47080745341615
2013-01-09,33.48385093167702
2013-01-10,42.03291925465838
2013-01-11,31.346583850931676
2013-01-12,24.222360248447202
2013-01-13,26.359627329192545
2013-01-14,39.183229813664596
2013-01-15,34.90869565217391
2013-01-16,34.90869565217391
2013-01-17,40.60807453416149
2013-01-18,42.03291925465838
2013-01-19,18.522981366459625
2013-01-20,27.78447204968944
2013-01-21,31.346583850931676
2013-01-22,32.059006211180126
2013-01-23,44.88260869565217
2013-01-24,47.01987577639751
2013-01-25,48.444720496894405
2013-01-26,33.48385093167702
2013-01-27,36.333540372670804
2013-01-28,44.17018633540373
2013-01-29,46.307453416149066
2013-01-30,71.24223602484471
2013-01-31,53.431677018633536
2013-02-01,51.30757651781234
2013-02-02,32.144505770195686
2013-02-03,28.435524335173106
2013-02-04,51.92574009031611
2013-02-05,51.92574009031611
2013-02-06,53.16206723532363
2013-02-07,52.54390366281987
2013-02-08,41.416959357752134
2013-02-09,25.962870045158056
2013-02-10,42.035122930255895
2013-02-11,42.65328650275966
2013-02-12,43.271450075263424
2013-02-13,47.598595082789764
2013-02-14,50.68941294530858
2013-02-15,31.52634219769192
2013-02-16,19.781234320120422
2013-02-17,35.853487205218265
2013-02-18,51.92574009031611
2013-02-19,51.30757651781234
2013-02-20,49.453085800301054
2013-02-21,53.16206723532363
2013-02-22,41.416959357752134
2013-02-23,34.617160060210736
2013-02-24,34.617160060210736
2013-02-25,61.81635725037632
2013-02-26,46.980431510286
2013-02-27,54.39839438033116
2013-02-28,50.07124937280482
2013-03-01,36.60788276907529
2013-03-02,30.827690752905507
2013-03-03,44.95704901465386
2013-03-04,64.2243557352198
2013-03-05,53.94845881758464
2013-03-06,48.16826680141485
2013-03-07,53.30621526023244
2013-03-08,39.176856998484084
2013-03-09,31.469934310257706
2013-03-10,41.103587670540676
2013-03-11,48.810510358767054
2013-03-12,43.67256189994947
2013-03-13,52.66397170288024
2013-03-14,52.66397170288024
2013-03-15,43.67256189994947
2013-03-16,28.900960080848915
2013-03-17,31.469934310257706
2013-03-18,50.09499747347145
2013-03-19,41.74583122789287
2013-03-20,49.45275391611925
2013-03-21,44.95704901465386
2013-03-22,40.46134411318848
2013-03-23,20.551793835270338
2013-03-24,25.047498736735726
2013-03-25,35.32339565437089
2013-03-26,49.45275391611925
2013-03-27,42.388074785245074
2013-03-28,41.103587670540676
2013-03-29,34.0389085396665
2013-03-30,25.047498736735726
2013-03-31,25.68974229408792
2013-04-01,38.2414151925078
2013-04-02,45.12486992715921
2013-04-03,42.83038501560874
2013-04-04,55.83246618106139
2013-04-05,49.71383975026015
2013-04-06,32.88761706555671
2013-04-07,49.71383975026015
2013-04-08,46.65452653485952
2013-04-09,53.53798126951093
2013-04-10,55.06763787721124
2013-04-11,51.24349635796046
2013-04-12,61.18626430801249
2013-04-13,35.94693028095734
2013-04-14,37.47658688865765
2013-04-15,58.89177939646202
2013-04-16,46.65452653485952
2013-04-17,61.18626430801249
2013-04-18,53.53798126951093
2013-04-19,32.88761706555671
2013-04-20,26.004162330905306
2013-04-21,42.83038501560874
2013-04-22,56.59729448491155
2013-04-23,60.42143600416233
2013-04-24,55.06763787721124
2013-04-25,55.83246618106139
2013-04-26,51.24349635796046
2013-04-27,31.3579604578564
2013-04-28,42.83038501560874
2013-04-29,76.4828303850156
2013-04-30,62.7159209157128
2013-05-01,51.20886075949366
2013-05-02,58.86075949367088
2013-05-03,47.67721518987341
2013-05-04,24.13291139240506
2013-05-05,34.72784810126582
2013-05-06,50.031645569620245
2013-05-07,58.27215189873417
2013-05-08,47.088607594936704
2013-05-09,54.74050632911391
2013-05-10,40.0253164556962
2013-05-11,24.721518987341767
2013-05-12,36.49367088607595
2013-05-13,49.443037974683534
2013-05-14,50.62025316455696
2013-05-15,48.85443037974683
2013-05-16,46.49999999999999
2013-05-17,36.49367088607595
2013-05-18,18.246835443037973
2013-05-19,28.25316455696202
2013-05-20,38.84810126582278
2013-05-21,43.55696202531645
2013-05-22,39.43670886075949
2013-05-23,37.67088607594936
2013-05-24,28.25316455696202
2013-05-25,19.42405063291139
2013-05-26,17.658227848101262
2013-05-27,29.43037974683544
2013-05-28,37.08227848101265
2013-05-29,31.784810126582276
2013-05-30,42.96835443037974
2013-05-31,36.49367088607595
2013-06-01,23.23717948717949
2013-06-02,40.06410256410257
2013-06-03,30.849358974358974
2013-06-04,27.243589743589745
2013-06-05,32.05128205128205
2013-06-06,30.44871794871795
2013-06-07,28.846153846153847
2013-06-08,20.833333333333336
2013-06-09,19.230769230769234
2013-06-10,24.83974358974359
2013-06-11,24.439102564102566
2013-06-12,28.044871794871796
2013-06-13,36.458333333333336
2013-06-14,26.442307692307693
2013-06-15,11.618589743589745
2013-06-16,23.23717948717949
2013-06-17,24.439102564102566
2013-06-18,20.43269230769231
2013-06-19,28.44551282051282
2013-06-20,24.03846153846154
2013-06-21,23.637820512820515
2013-06-22,19.230769230769234
2013-06-23,16.42628205128205
2013-06-24,20.833333333333336
2013-06-25,30.849358974358974
2013-06-26,29.246794871794872
2013-06-27,24.03846153846154
2013-06-28,18.42948717948718
2013-06-29,15.224358974358974
2013-06-30,26.84294871794872
2013-07-01,20.443572129538765
2013-07-02,27.744847890088327
2013-07-03,30.665358194308148
2013-07-04,15.332679097154074
2013-07-05,23.36408243375859
