Date,Copper
2013-01-01,44.966348568558516
2013-01-02,118.33249623304873
2013-01-03,69.81617277749875
2013-01-04,95.84932194876947
2013-01-05,88.74937217478654
2013-01-06,74.5494726268207
2013-01-07,62.71622300351583
2013-01-08,89.93269713711703
2013-01-09,85.1993972877951
2013-01-10,62.71622300351583
2013-01-11,93.4826720241085
2013-01-12,54.43294826720242
2013-01-13,67.44952285283777
2013-01-14,93.4826720241085
2013-01-15,82.83274736313412
2013-01-16,49.69964841788047
2013-01-17,84.0160723254646
2013-01-18,75.73279758915119
2013-01-19,48.51632345554998
2013-01-20,48.51632345554998
2013-01-21,92.29934706177801
2013-01-22,76.91612255148168
2013-01-23,118.33249623304873
2013-01-24,78.09944751381217
2013-01-25,74.5494726268207
2013-01-26,60.34957307885485
2013-01-27,80.46609743847314
2013-01-28,69.81617277749875
2013-01-29,114.78252134605727
2013-01-30,43.783023606228035
2013-01-31,55.61627322953291
2013-02-01,93.45527638190956
2013-02-02,66.10251256281408
2013-02-03,52.42613065326634
2013-02-04,80.91859296482413
2013-02-05,112.83015075376886
2013-02-06,107.1316582914573
2013-02-07,75.22010050251257
2013-02-08,83.19798994974876
2013-02-09,59.264321608040206
2013-02-10,78.63919597989951
2013-02-11,62.683417085427145
2013-02-12,79.77889447236181
2013-02-13,100.29346733668343
2013-02-14,82.05829145728644
2013-02-15,75.22010050251257
2013-02-16,52.42613065326634
2013-02-17,53.56582914572865
2013-02-18,66.10251256281408
2013-02-19,105.99195979899498
2013-02-20,74.08040201005026
2013-02-21,69.52160804020102
2013-02-22,104.85226130653268
2013-02-23,77.4994974874372
2013-02-24,63.82311557788945
2013-02-25,109.41105527638192
2013-02-26,98.0140703517588
2013-02-27,69.52160804020102
2013-02-28,113.96984924623116
2013-03-01,68.60834590246355
2013-03-02,50.902966314731025
2013-03-03,28.77124183006536
2013-03-04,66.39517345399699
2013-03-05,52.00955253896431
2013-03-06,94.05982905982907
2013-03-07,89.63348416289594
2013-03-08,91.8466566113625
2013-03-09,80.78079436902966
2013-03-10,50.902966314731025
2013-03-11,77.46103569632982
2013-03-12,76.35444947209653
2013-03-13,82.99396681749623
2013-03-14,102.91251885369533
2013-03-15,86.31372549019608
2013-03-16,28.77124183006536
2013-03-17,110.65862242332831
2013-03-18,94.05982905982907
2013-03-19,53.11613876319759
2013-03-20,101.80593262946205
2013-03-21,77.46103569632982
2013-03-22,49.79638009049774
2013-03-23,58.649069884364
2013-03-24,79.67420814479638
2013-03-25,70.82151835093012
2013-03-26,95.16641528406235
2013-03-27,36.51734539969834
2013-03-28,94.05982905982907
2013-03-29,73.03469079939669
2013-03-30,54.22272498743087
2013-03-31,23.238310708898947
2013-04-01,87.08590679393599
2013-04-02,118.75350926445817
2013-04-03,90.25266704098821
2013-04-04,66.50196518809658
2013-04-05,101.33632790567097
2013-04-06,53.8349241998877
2013-04-07,61.75182481751825
2013-04-08,96.58618753509265
2013-04-09,101.33632790567097
2013-04-10,90.25266704098821
2013-04-11,82.33576642335767
2013-04-12,95.00280741156654
2013-04-13,47.50140370578327
2013-04-14,107.6698483997754
2013-04-15,120.33688938798427
2013-04-16,125.08702975856261
2013-04-17,150.42111173498034
2013-04-18,117.17012914093206
2013-04-19,93.41942728804042
2013-04-20,80.75238629983156
2013-04-21,55.418304323413814
2013-04-22,96.58618753509265
2013-04-23,121.92026951151038
2013-04-24,158.3380123526109
2013-04-25,110.83660864682763
2013-04-26,120.33688938798427
2013-04-27,41.167883211678834
2013-04-28,41.167883211678834
2013-04-29,90.25266704098821
2013-04-30,96.58618753509265
2013-05-01,109.02265542676501
2013-05-02,122.1053740779768
2013-05-03,117.74446786090621
2013-05-04,82.8572181243414
2013-05-05,97.39357218124341
2013-05-06,145.36354056902002
2013-05-07,127.9199157007376
2013-05-08,79.949947312961
2013-05-09,129.3735511064278
2013-05-10,79.949947312961
2013-05-11,61.0526870389884
2013-05-12,50.877239199157
2013-05-13,82.8572181243414
2013-05-14,104.6617492096944
2013-05-15,49.4236037934668
2013-05-16,116.290832455216
2013-05-17,75.58904109589041
2013-05-18,62.5063224446786
2013-05-19,33.433614330874605
2013-05-20,87.21812434141201
2013-05-21,85.7644889357218
2013-05-22,75.58904109589041
2013-05-23,135.1880927291886
2013-05-24,93.0326659641728
2013-05-25,78.49631190727081
2013-05-26,59.5990516332982
2013-05-27,94.48630136986301
2013-05-28,98.8472075869336
2013-05-29,81.40358271865121
2013-05-30,66.86722866174921
2013-05-31,74.1354056902002
2013-06-01,75.14950166112958
2013-06-02,60.89700996677741
2013-06-03,81.62790697674419
2013-06-04,59.60132890365449
2013-06-05,107.54152823920266
2013-06-06,60.89700996677741
2013-06-07,44.053156146179404
2013-06-08,68.67109634551495
2013-06-09,27.209302325581397
2013-06-10,95.88039867109634
2013-06-11,69.96677740863788
2013-06-12,129.56810631229237
2013-06-13,66.0797342192691
2013-06-14,90.69767441860465
2013-06-15,104.95016611295681
2013-06-16,28.50498338870432
2013-06-17,81.62790697674419
2013-06-18,76.44518272425249
2013-06-19,66.0797342192691
2013-06-20,123.08970099667775
2013-06-21,79.03654485049834
2013-06-22,76.44518272425249
2013-06-23,41.461794019933556
2013-06-24,120.4983388704319
2013-06-25,119.20265780730898
2013-06-26,86.81063122923588
2013-06-27,93.2890365448505
2013-06-28,62.19269102990033
2013-06-29,73.85382059800665
2013-06-30,68.67109634551495
2013-07-01,65.77603143418467
2013-07-02,60.84282907662082
2013-07-03,77.28683693516699
2013-07-04,69.0648330058939
2013-07-05,124.97445972495088
