Date,Natural Gas
2013-01-01,9.932038834951456
2013-01-02,81.2621359223301
2013-01-03,79.45631067961165
2013-01-04,90.29126213592234
2013-01-05,9.029126213592233
2013-01-06,27.990291262135923
2013-01-07,31.601941747572816
2013-01-08,38.8252427184466
2013-01-09,70.42718446601943
2013-01-10,55.077669902912625
2013-01-11,32.504854368932044
2013-01-12,9.029126213592233
2013-01-13,27.990291262135923
2013-01-14,60.49514563106796
2013-01-15,68.62135922330097
2013-01-16,45.14563106796117
2013-01-17,54.1747572815534
2013-01-18,40.63106796116505
2013-01-19,57.786407766990294
2013-01-20,9.932038834951456
2013-01-21,39.728155339805824
2013-01-22,60.49514563106796
2013-01-23,30.699029126213595
2013-01-24,84.873786407767
2013-01-25,39.728155339805824
2013-01-26,18.058252427184467
2013-01-27,18.058252427184467
2013-01-28,29.79611650485437
2013-01-29,60.49514563106796
2013-01-30,52.368932038834956
2013-01-31,60.49514563106796
2013-02-01,46.358490566037744
2013-02-02,46.358490566037744
2013-02-03,0.0
2013-02-04,45.169811320754725
2013-02-05,52.30188679245284
2013-02-06,74.8867924528302
2013-02-07,53.49056603773586
2013-02-08,22.584905660377363
2013-02-09,27.33962264150944
2013-02-10,9.509433962264152
2013-02-11,51.11320754716982
2013-02-12,45.169811320754725
2013-02-13,29.716981132075475
2013-02-14,22.584905660377363
2013-02-15,40.41509433962265
2013-02-16,46.358490566037744
2013-02-17,28.528301886792455
2013-02-18,30.905660377358494
2013-02-19,118.8679245283019
2013-02-20,52.30188679245284
2013-02-21,67.75471698113209
2013-02-22,30.905660377358494
2013-02-23,27.33962264150944
2013-02-24,9.509433962264152
2013-02-25,51.11320754716982
2013-02-26,101.03773584905662
2013-02-27,67.75471698113209
2013-02-28,60.62264150943397
2013-03-01,69.91807228915663
2013-03-02,17.479518072289157
2013-03-03,17.479518072289157
2013-03-04,81.57108433734939
2013-03-05,35.93012048192771
2013-03-06,36.90120481927711
2013-03-07,51.46746987951807
2013-03-08,83.5132530120482
2013-03-09,27.190361445783132
2013-03-10,44.66987951807229
2013-03-11,66.03373493975903
2013-03-12,72.83132530120481
2013-03-13,44.66987951807229
2013-03-14,97.10843373493975
2013-03-15,45.64096385542169
2013-03-16,8.739759036144578
2013-03-17,18.450602409638556
2013-03-18,87.39759036144578
2013-03-19,80.6
2013-03-20,44.66987951807229
2013-03-21,81.57108433734939
2013-03-22,46.612048192771084
2013-03-23,54.380722891566265
2013-03-24,18.450602409638556
2013-03-25,72.83132530120481
2013-03-26,66.03373493975903
2013-03-27,75.74457831325302
2013-03-28,46.612048192771084
2013-03-29,40.785542168674695
2013-03-30,57.29397590361446
2013-03-31,19.42168674698795
2013-04-01,53.35489086499596
2013-04-02,89.36944219886823
2013-04-03,52.02101859337106
2013-04-04,30.679062247372677
2013-04-05,78.69846402586904
2013-04-06,18.674211802748587
2013-04-07,0.0
2013-04-08,81.36620856911884
2013-04-09,37.348423605497175
2013-04-10,29.34518997574778
2013-04-11,84.03395311236864
2013-04-12,38.68229587712207
2013-04-13,28.011317704122877
2013-04-14,65.35974130962005
2013-04-15,50.68714632174616
2013-04-16,81.36620856911884
2013-04-17,52.02101859337106
2013-04-18,133.3872271624899
2013-04-19,69.36135812449474
2013-04-20,18.674211802748587
2013-04-21,29.34518997574778
2013-04-22,68.02748585286984
2013-04-23,37.348423605497175
2013-04-24,104.04203718674212
2013-04-25,85.36782538399353
2013-04-26,40.01616814874697
2013-04-27,20.008084074373485
2013-04-28,9.337105901374294
2013-04-29,89.36944219886823
2013-04-30,74.69684721099435
2013-05-01,52.84090909090909
2013-05-02,36.58216783216783
2013-05-03,69.91258741258741
2013-05-04,38.20804195804196
2013-05-05,18.69755244755245
2013-05-06,52.027972027972034
2013-05-07,21.9493006993007
2013-05-08,81.29370629370631
2013-05-09,52.027972027972034
2013-05-10,39.02097902097903
2013-05-11,47.15034965034965
2013-05-12,9.755244755244757
2013-05-13,45.52447552447553
2013-05-14,52.84090909090909
2013-05-15,52.84090909090909
2013-05-16,68.2867132867133
2013-05-17,56.09265734265735
2013-05-18,19.510489510489514
2013-05-19,27.639860139860144
2013-05-20,37.3951048951049
2013-05-21,51.215034965034974
2013-05-22,52.84090909090909
2013-05-23,69.91258741258741
2013-05-24,24.38811188811189
2013-05-25,19.510489510489514
2013-05-26,0.0
2013-05-27,46.337412587412594
2013-05-28,67.47377622377623
2013-05-29,74.7902097902098
2013-05-30,61.78321678321679
2013-05-31,47.15034965034965
2013-06-01,18.450797872340427
2013-06-02,27.307180851063833
2013-06-03,73.0651595744681
2013-06-04,50.924202127659576
2013-06-05,65.68484042553192
2013-06-06,51.662234042553195
2013-06-07,37.63962765957447
2013-06-08,28.045212765957448
2013-06-09,0.0
2013-06-10,21.402925531914896
2013-06-11,65.68484042553192
2013-06-12,29.521276595744684
2013-06-13,36.901595744680854
2013-06-14,53.87632978723405
2013-06-15,19.188829787234045
2013-06-16,0.0
2013-06-17,22.140957446808514
2013-06-18,44.28191489361703
2013-06-19,73.80319148936171
2013-06-20,60.5186170212766
2013-06-21,53.13829787234043
2013-06-22,9.594414893617023
2013-06-23,9.594414893617023
2013-06-24,36.901595744680854
2013-06-25,36.901595744680854
2013-06-26,65.68484042553192
2013-06-27,51.662234042553195
2013-06-28,38.37765957446809
2013-06-29,0.0
2013-06-30,28.045212765957448
2013-07-01,46.170212765957444
2013-07-02,62.11992263056093
2013-07-03,40.294003868471954
2013-07-04,38.61508704061895
2013-07-05,83.9458413926499
2013-07-06,19.307543520309476
