Date,Nuclear Power
2013-01-01,35.17372421281216
2013-01-02,39.80184581976113
2013-01-03,48.13246471226927
2013-01-04,38.876221498371336
2013-01-05,32.396851248642776
2013-01-06,35.17372421281216
2013-01-07,50.90933767643865
2013-01-08,59.239956568946795
2013-01-09,62.01682953311617
2013-01-10,66.64495114006515
2013-01-11,63.86807817589576
2013-01-12,41.653094462540714
2013-01-13,49.058089033659066
2013-01-14,61.09120521172638
2013-01-15,67.57057546145494
2013-01-16,60.165580890336585
2013-01-17,56.46308360477742
2013-01-18,61.09120521172638
2013-01-19,33.32247557003257
2013-01-20,41.653094462540714
2013-01-21,45.35559174809989
2013-01-22,56.46308360477742
2013-01-23,56.46308360477742
2013-01-24,92.56243213897936
2013-01-25,60.165580890336585
2013-01-26,45.35559174809989
2013-01-27,48.13246471226927
2013-01-28,63.86807817589576
2013-01-29,84.23181324647122
2013-01-30,77.75244299674267
2013-01-31,70.34744842562432
2013-02-01,59.008665511265164
2013-02-02,39.33911034084344
2013-02-03,48.656268053148466
2013-02-04,66.25534373194685
2013-02-05,68.3258232235702
2013-02-06,75.57250144425188
2013-02-07,74.5372616984402
2013-02-08,60.04390525707684
2013-02-09,37.2686308492201
2013-02-10,47.6210283073368
2013-02-11,66.25534373194685
2013-02-12,103.52397458116695
2013-02-13,76.60774119006355
2013-02-14,64.1848642403235
2013-02-15,61.0791450028885
2013-02-16,50.72674754477181
2013-02-17,53.832466782206815
2013-02-18,57.9734257654535
2013-02-19,68.3258232235702
2013-02-20,70.39630271519353
2013-02-21,68.3258232235702
2013-02-22,67.29058347775852
2013-02-23,59.008665511265164
2013-02-24,48.656268053148466
2013-02-25,73.50202195262854
2013-02-26,77.64298093587522
2013-02-27,76.60774119006355
2013-02-28,71.4315424610052
2013-03-01,66.92063492063492
2013-03-02,48.66955266955267
2013-03-03,49.68350168350168
2013-03-04,76.04617604617604
2013-03-05,80.1019721019721
2013-03-06,74.01827801827801
2013-03-07,101.3949013949014
2013-03-08,82.12987012987013
2013-03-09,59.822991822991824
2013-03-10,52.725348725348724
2013-03-11,78.07407407407408
2013-03-12,82.12987012987013
2013-03-13,80.1019721019721
2013-03-14,57.79509379509379
2013-03-15,59.822991822991824
2013-03-16,42.58585858585859
2013-03-17,61.85088985088985
2013-03-18,77.06012506012506
2013-03-19,75.03222703222703
2013-03-20,77.06012506012506
2013-03-21,76.04617604617604
2013-03-22,61.85088985088985
2013-03-23,45.62770562770563
2013-03-24,49.68350168350168
2013-03-25,62.864838864838866
2013-03-26,71.99037999037999
2013-03-27,69.96248196248196
2013-03-28,79.08802308802309
2013-03-29,74.01827801827801
2013-03-30,64.89273689273689
2013-03-31,68.94853294853294
2013-04-01,85.1963746223565
2013-04-02,100.10574018126889
2013-04-03,117.14501510574019
2013-04-04,212.99093655589127
2013-04-05,136.3141993957704
2013-04-06,76.67673716012085
2013-04-07,85.1963746223565
2013-04-08,97.97583081570997
2013-04-09,108.62537764350454
2013-04-10,100.10574018126889
2013-04-11,115.01510574018127
2013-04-12,97.97583081570997
2013-04-13,70.28700906344412
2013-04-14,74.54682779456193
2013-04-15,106.49546827794563
2013-04-16,104.36555891238672
2013-04-17,93.71601208459215
2013-04-18,104.36555891238672
2013-04-19,87.32628398791542
2013-04-20,46.858006042296076
2013-04-21,59.63746223564955
2013-04-22,97.97583081570997
2013-04-23,87.32628398791542
2013-04-24,87.32628398791542
2013-04-25,93.71601208459215
2013-04-26,83.06646525679758
2013-04-27,53.24773413897282
2013-04-28,59.63746223564955
2013-04-29,87.32628398791542
2013-04-30,89.45619335347433
2013-05-01,87.07745266781411
2013-05-02,87.98450946643717
2013-05-03,73.47160068846816
2013-05-04,45.352839931153184
2013-05-05,56.23752151462995
2013-05-06,87.07745266781411
2013-05-07,80.72805507745267
2013-05-08,87.98450946643717
2013-05-09,90.70567986230637
2013-05-10,73.47160068846816
2013-05-11,41.72461273666093
2013-05-12,48.07401032702237
2013-05-13,83.44922547332186
2013-05-14,83.44922547332186
2013-05-15,89.79862306368331
2013-05-16,83.44922547332186
2013-05-17,79.8209982788296
2013-05-18,34.46815834767642
2013-05-19,40.81755593803786
2013-05-20,72.5645438898451
2013-05-21,78.91394148020653
2013-05-22,88.89156626506023
2013-05-23,78.00688468158347
2013-05-24,58.051635111876074
2013-05-25,34.46815834767642
2013-05-26,41.72461273666093
2013-05-27,44.44578313253012
2013-05-28,66.21514629948365
2013-05-29,68.02925989672977
2013-05-30,64.40103270223752
2013-05-31,57.14457831325301
2013-06-01,39.83463035019455
2013-06-02,39.32392996108949
2013-06-03,51.07003891050583
2013-06-04,47.495136186770424
2013-06-05,44.43093385214007
2013-06-06,46.47373540856031
2013-06-07,42.898832684824896
2013-06-08,32.17412451361867
2013-06-09,32.68482490272373
2013-06-10,40.856031128404666
2013-06-11,41.36673151750973
2013-06-12,37.791828793774314
2013-06-13,41.36673151750973
2013-06-14,31.663424124513618
2013-06-15,30.6420233463035
2013-06-16,30.131322957198442
2013-06-17,36.25972762645914
2013-06-18,31.663424124513618
2013-06-19,39.83463035019455
2013-06-20,37.28112840466926
2013-06-21,31.663424124513618
2013-06-22,26.556420233463033
2013-06-23,26.045719844357976
2013-06-24,24.5136186770428
2013-06-25,29.62062256809338
2013-06-26,28.08852140077821
2013-06-27,27.57782101167315
2013-06-28,25.535019455252915
2013-06-29,26.556420233463033
2013-06-30,28.599221789883266
2013-07-01,29.078167115902964
2013-07-02,24.92414324220254
2013-07-03,31.155179052753176
2013-07-04,23.19329996149403
